,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
butterknife (Java),27,19,26,0,3,52,29,89,79,162,45,1,0,7,6,180,5,0
PocketHub (Java),62,19,92,2,27,133,121,227,75,49,62,0,0,28,20,102,3,0
netty-socketio (Java),120,24,93,1,63,205,109,340,47,3,83,4,0,26,6,41,18,0
ion (Java),129,8,148,7,68,100,172,254,57,46,49,1,0,48,14,85,1,0
jOOQ (Java),5401,1017,15126,42,2146,2654,16479,20949,1369,947,2951,244,0,3635,847,2226,140,8
grpc-java (Java),727,191,1224,57,467,4617,1187,4657,1036,765,720,9,0,335,192,1215,206,2
PermissionsDispatcher (Java),0,0,0,6,0,112,0,4,3,12,5,0,0,4,2,13,23,0
Apktool (Java),87,41,153,3,37,284,165,229,76,59,83,0,0,21,16,52,2,4
otter (Java),800,165,550,8,1077,866,731,1955,273,302,322,1,0,238,83,470,39,0
hellocharts-android (Java),267,53,72,6,122,214,136,243,30,17,99,17,0,2,1,7,26,0
closure-compiler (Java),733,1035,2509,90,1133,15035,2992,7510,1608,4716,934,19,0,671,310,5568,58,0
PowerJob (Java),38,44,310,2,29,308,317,551,166,88,107,2,0,112,38,214,24,2
Signal-Android (Java),1817,784,2223,149,480,3528,2313,4929,1284,1554,2052,14,0,554,542,1638,193,0
grafika (Java),27,8,23,13,37,164,17,118,25,30,24,0,0,3,4,10,11,0
mybatis-3 (Java),1056,119,682,10,877,1606,739,2048,699,182,434,4,0,117,98,794,67,1
walle (Java),20,6,31,3,7,25,37,35,9,0,32,0,0,6,0,3,0,2
alluxio (Java),2327,770,3244,86,1110,5769,3488,6460,1058,994,1731,57,0,736,454,1388,260,1
FrameworkBenchmarks (Java),230,25,345,7,119,208,360,554,185,137,287,5,0,123,44,219,12,0
QMUI_Android (Java),436,215,470,48,421,1294,679,1090,124,114,359,1,0,124,82,186,68,0
BottomBar (Java),26,13,19,3,36,138,27,82,10,11,14,0,0,7,1,8,1,1
NumberProgressBar (Java),11,1,3,0,12,10,3,7,0,4,3,0,0,1,0,3,0,0
eureka (Java),229,137,591,2,105,595,675,877,134,86,281,13,0,101,19,172,15,0
cachecloud (Java),177,198,1247,0,169,227,1362,1406,209,74,147,2,0,348,33,182,12,0
javapoet (Java),33,20,86,3,7,188,113,239,140,94,27,5,0,30,3,218,0,0
caffeine (Java),247,190,612,89,172,1302,631,1547,1813,376,280,2,0,139,114,1940,21,3
springBoot (Java),118,0,81,0,116,24,78,124,37,4,23,0,0,43,12,26,6,0
AndPermission (Java),35,36,20,1,37,85,51,110,26,7,61,0,0,23,1,29,4,0
RxLifecycle (Java),0,1,49,0,9,222,20,127,7,37,15,0,0,0,0,13,3,0
aeron (Java),923,284,940,44,351,2169,1088,1787,559,504,418,5,0,76,75,569,87,13
banner (Java),75,4,19,2,23,58,51,60,27,8,62,0,0,8,2,16,1,0
HomeMirror (Java),12,2,4,0,10,16,2,20,1,5,3,0,0,1,6,0,0,0
Mycat-Server (Java),1166,257,897,165,759,1260,943,1879,354,336,454,4,0,187,346,545,405,2
NewPipe (Java),190,147,425,44,182,1043,468,903,135,132,291,5,0,114,61,138,58,2
JCSprout (Java),15,2,27,3,19,53,27,58,69,6,17,2,0,10,7,72,4,0
Java (Java),87,94,237,56,64,425,256,384,381,719,473,10,0,45,43,1022,3,6
ARouter (Java),77,8,20,0,36,40,52,97,9,16,30,0,0,5,2,17,10,0
storm (Java),270,219,684,30,307,592,773,1175,153,107,341,37,0,185,47,218,86,0
java-design-patterns (Java),152,80,428,29,202,952,437,1016,544,426,453,19,0,91,70,784,25,1
gitpod (Java),69,3,30,0,46,3,6,31,0,47,77,0,0,1,0,22,2,0
Shadow (Java),77,81,246,4,78,659,315,746,116,39,146,1,0,90,76,144,41,1
AndroidSlidingUpPanel (Java),15,28,7,0,21,31,30,29,5,6,4,0,0,3,0,9,0,0
zeppelin (Java),861,364,1481,25,612,2201,1704,3177,503,305,600,44,0,443,175,528,150,0
jmeter (Java),1060,467,1726,50,857,3612,2329,3441,810,458,1146,17,0,685,261,950,202,12
mapstruct (Java),3157,285,880,5,2322,577,1020,3221,1438,352,656,25,0,537,200,1802,350,0
bytecode-viewer (Java),124,25,152,18,55,289,188,367,97,31,180,3,0,34,16,97,58,5
graylog2-server (Java),1225,485,4686,17,437,5806,4684,8789,1842,1620,2155,36,0,740,586,2804,269,4
nanohttpd (Java),41,11,47,5,34,179,45,128,60,34,44,2,0,18,7,89,5,0
Activiti (Java),613,93,583,2,367,779,618,1476,255,171,471,0,0,275,241,369,30,0
seatunnel (Java),896,309,2320,44,465,2393,2170,4215,1539,749,1564,22,0,993,1066,1973,384,11
material-components-android (Java),1015,445,1051,72,852,3540,1292,3366,605,471,575,6,0,285,376,659,89,1
xmall (Java),232,0,40,0,212,40,40,172,0,0,20,0,0,20,0,20,0,0
supertokens-core (Java),76,28,196,9,20,615,199,626,1303,360,219,1,0,44,174,1559,9,2
zipkin (Java),198,43,551,9,211,955,419,943,261,392,169,4,0,122,56,403,22,3
android-classyshark (Java),65,10,126,5,19,94,128,181,42,29,92,3,0,29,28,46,14,0
Android-Bootstrap (Java),59,3,15,0,58,139,23,133,9,28,50,0,0,13,12,16,5,0
okhttputils (Java),23,4,38,0,21,25,38,75,18,8,24,0,0,17,2,18,4,0
gocd (Java),1790,1545,4747,20,1001,9630,5853,11870,4160,1570,2220,49,0,1500,492,4439,165,4
AVLoadingIndicatorView (Java),4,3,7,1,6,60,36,72,3,3,11,0,0,29,1,2,1,0
SDE-Interview-Questions (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpringBoot-Learning (Java),53,0,108,0,64,108,114,127,24,23,38,0,0,46,34,61,18,0
cim (Java),81,4,41,1,82,98,56,97,66,16,51,0,0,24,3,70,1,0
baritone (Java),202,164,374,6,61,215,348,583,96,184,239,2,0,96,69,143,21,0
mit-deep-learning-book-pdf (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proxyee-down (Java),76,3,27,0,43,41,25,72,22,9,2,0,0,18,4,21,0,0
AntennaPod (Java),312,122,435,37,214,1121,455,1004,308,227,359,1,0,108,91,343,52,1
Algorithms (Java),123,99,233,23,72,344,300,260,330,137,142,1,0,30,33,377,20,2
realm-java (Java),310,23,134,8,204,330,246,615,35,83,24,0,0,96,7,59,2,0
epoxy (Java),4413,256,562,57,1215,1872,3535,3675,130,56,281,1,0,59,359,240,211,3
