,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
MinecraftForge (Java),830,252,979,8,209,529,1115,2140,314,188,667,7,0,126,199,334,60,2
AndroidProject (Java),103,70,81,4,88,397,167,379,64,43,129,0,0,27,65,98,44,1
Android-Image-Cropper (Java),23,10,23,13,27,112,26,94,18,8,12,0,0,6,1,13,2,1
quarkus (Java),7793,1448,12416,216,3184,11327,12958,22270,7057,7070,4967,77,0,3391,3654,12196,584,35
rocketmq (Java),1197,266,1050,32,904,1680,1334,2629,418,156,397,3,0,299,80,395,61,1
analysis-ik (Java),39,23,41,3,17,41,46,65,14,8,24,0,0,12,0,15,1,0
CalendarView (Java),106,73,53,1,103,330,98,219,123,33,68,0,0,23,26,73,40,0
spring-boot-admin (Java),94,26,288,4,109,469,290,545,157,82,155,4,0,84,10,194,9,0
zfile (Java),27,51,185,1,9,73,243,242,47,22,48,0,0,39,32,61,4,0
jjwt (Java),182,75,573,9,63,56,601,622,80,64,346,2,0,90,19,99,6,3
Chat2DB (Java),13,0,220,0,1,54,156,237,193,88,4,0,0,120,5,246,3,0
SmarterStreaming (Java),0,10,6,3,23,121,10,58,22,20,0,0,0,5,11,25,0,0
jvm (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jd-gui (Java),81,36,162,6,39,211,163,288,90,47,84,0,0,37,67,89,29,0
leetcode (Java),12,16,68,4,18,27,68,42,40,20,20,0,0,4,37,50,0,0
BigData-Notes (Java),4,2,9,2,21,58,10,57,24,12,7,0,0,0,1,15,4,0
Signal-Server (Java),411,73,660,14,117,1461,648,1919,277,189,429,6,0,141,45,314,63,0
ysoserial (Java),4,1,14,0,2,34,9,25,27,19,12,0,0,15,3,39,6,0
angel (Java),1621,290,2508,176,777,2010,2137,3579,928,776,2110,89,0,918,530,908,93,0
Fragmentation (Java),64,28,96,3,82,432,135,430,25,24,76,2,0,35,16,37,7,0
kafka (Java),3752,1514,7274,290,1066,14267,7592,16763,5219,2863,2897,249,0,2506,655,5460,372,25
disruptor (Java),54,88,186,62,61,358,241,344,130,35,101,0,0,34,41,129,20,5
