,entity,minimal-entity,data-provider,commander,boundary,factory,controller,pure-controller,large-class,lazy-class,degenerate,data-class,small-class,empty,unclassified
MvvmCross (C#),159,27,16,270,438,27,14,38,3,18,183,37,302,450,21
ReactiveUI (C#),16,2,1,78,61,2,8,42,0,1,86,24,98,208,6
Dapper (C#),24,1,1,11,51,2,1,10,0,1,36,1,42,100,1
RestSharp (C#),7,0,3,4,16,1,2,2,0,0,2,6,14,31,1
QRCoder (C#),4,0,0,2,8,1,2,9,0,0,16,2,5,9,2
Snap.Hutao (C#),128,0,45,90,256,36,40,50,0,3,130,16,288,850,14
aspire (C#),38,1,13,85,135,5,17,90,0,3,140,11,169,279,10
GalaxyBudsClient (C#),59,3,39,91,215,17,23,4,0,4,66,28,120,238,28
GameFramework (C#),6,0,27,58,26,0,0,1,0,1,5,27,76,66,11
acat (C#),41,0,44,151,183,0,4,1,0,7,18,1,83,192,53
command-line-api (C#),20,0,7,44,68,3,12,52,0,0,88,4,86,126,10
DriverStoreExplorer (C#),2,0,0,5,6,0,0,1,0,0,5,0,5,8,4
modular-monolith-with-ddd (C#),91,1,5,142,230,4,7,39,0,0,71,6,229,423,7
Power-Fx (C#),217,1,42,57,316,92,60,109,1,13,342,22,386,464,46
PowerShell (C#),374,40,193,413,1034,65,97,69,0,35,317,166,616,609,233
Winpilot (C#),0,0,0,11,11,0,0,1,0,0,1,0,4,6,30
protobuf-net (C#),35,3,30,50,276,7,15,157,1,12,378,32,290,368,72
TensorFlow.NET (C#),225,0,39,63,521,20,26,44,1,10,203,17,252,429,64
N_m3u8DL-RE (C#),8,0,2,4,14,5,8,5,0,0,8,3,25,53,1
hashids.net (C#),1,0,0,2,3,0,0,1,0,0,1,0,1,3,1
ScottPlot (C#),47,1,48,152,202,18,35,472,1,1,567,32,583,247,39
AssetRipper (C#),59,3,55,56,216,11,10,44,0,5,120,10,232,543,24
wpfui (C#),15,1,2,44,89,9,8,6,0,0,56,8,74,210,2
WinDynamicDesktop (C#),3,0,1,13,12,0,0,1,0,2,6,0,5,63,1
NSwag (C#),32,0,14,34,116,5,3,85,0,1,135,6,146,105,18
Swashbuckle.AspNetCore (C#),24,0,0,20,70,7,5,17,0,3,76,0,76,129,2
nvidiaProfileInspector (C#),4,0,3,5,23,0,0,1,0,0,5,0,11,27,2
FASTER (C#),59,1,21,140,214,0,7,19,0,13,103,8,116,227,33
EntityComponentSystemSamples (C#),57,0,18,170,275,3,18,111,0,18,273,19,449,714,20
ViVe (C#),0,0,0,0,1,0,0,0,0,0,0,0,0,12,1
ScreenToGif (C#),36,1,17,82,175,8,4,11,0,7,96,9,150,215,7
EFCore.BulkExtensions (C#),1,0,1,13,26,0,0,2,0,0,26,2,19,91,0
OpenRA (C#),403,3,58,449,851,474,488,131,0,12,241,69,1175,726,93
AspNetCore.Diagnostics.HealthChecks (C#),22,0,7,27,99,12,9,90,0,0,129,12,143,162,7
fluentmigrator (C#),69,3,11,262,356,27,30,77,0,5,228,23,298,360,40
SteamDesktopAuthenticator (C#),2,0,1,11,12,0,0,0,0,1,1,0,1,6,1
AutoFixture (C#),131,0,7,53,225,88,35,105,0,5,473,17,329,229,28
refit (C#),15,0,2,4,25,3,5,9,0,0,18,1,26,132,0
WTM (C#),1,0,1,0,1,1,0,0,0,0,1,0,3,12,0
Autofac (C#),20,1,8,47,108,6,9,98,0,1,162,27,153,208,4
basic-computer-games (C#),35,0,12,59,91,4,7,7,0,1,26,11,86,123,31
Magick.NET (C#),18,1,11,28,84,27,29,8,0,1,33,17,89,429,7
Radarr (C#),485,1,41,423,788,198,211,92,1,13,411,32,815,1189,68
v2rayN (C#),5,0,1,24,32,0,0,1,0,0,14,2,11,126,3
AICommand (C#),0,0,0,0,1,0,0,1,0,0,1,0,1,6,0
grpc-dotnet (C#),87,0,27,99,226,22,27,64,0,9,153,14,185,156,24
N_m3u8DL-CLI (C#),0,0,0,5,3,0,0,0,0,0,0,0,2,18,0
puppeteer-sharp (C#),54,0,2,186,242,1,2,17,0,1,39,12,145,307,1
MahApps.Metro (C#),37,0,16,69,122,13,4,12,0,6,66,8,103,101,5
Digital-Logic-Sim (C#),7,2,1,55,40,1,2,0,0,1,6,3,23,11,6
blazor-starter-kit (C#),51,0,0,12,58,1,0,1,0,0,4,0,36,175,0
kudu (C#),79,1,48,58,306,12,19,51,0,6,256,33,303,160,20
qttabbar (C#),1,0,0,3,1,0,0,0,0,0,0,1,1,19,2
ImageSharp (C#),100,1,41,251,368,28,38,138,0,3,257,38,500,424,78
Ryujinx (C#),264,5,124,547,830,25,47,42,0,20,226,70,588,1943,114
opentk (C#),28,0,6,14,80,1,1,1,0,0,9,4,11,119,13
ink (C#),9,0,19,7,40,1,2,2,1,3,8,5,21,10,11
MagicOnion (C#),92,1,14,60,185,13,26,132,0,8,277,9,146,332,19
NoteHighlight2016 (C#),0,0,0,2,8,0,0,1,0,0,4,0,1,7,1
NAudio (C#),28,2,31,125,131,11,5,20,0,7,93,34,153,202,69
better-genshin-impact (C#),3,0,3,7,17,2,1,1,0,0,3,4,11,51,1
ImageGlass (C#),28,3,4,73,94,0,3,1,1,0,13,1,27,99,16
Avalonia (C#),386,8,130,534,1168,119,128,232,0,26,686,105,1083,1413,99
aspnetcore (C#),96,0,21,201,356,12,24,96,0,12,262,25,334,415,40
Unity3DTraining (C#),2,0,0,18,4,0,0,0,0,0,0,5,16,2,2
UniTask (C#),98,1,5,22,127,10,14,14,0,4,42,2,48,247,8
PKHeX (C#),79,0,23,178,245,1,30,26,0,3,88,2,154,360,29
Emby.Plugins.JavScraper (C#),14,0,2,0,19,3,4,0,0,0,2,1,16,25,4
xdm (C#),21,0,9,80,109,0,1,3,0,5,32,11,46,142,5
SophiApp (C#),9,0,14,9,34,0,1,0,0,0,7,6,24,114,0
NaughtyAttributes (C#),11,0,8,2,26,1,0,4,0,0,15,9,27,111,2
DnsServer (C#),14,10,11,21,75,0,0,2,0,0,6,4,7,17,22
Flurl (C#),8,0,2,10,32,1,0,6,0,0,24,0,18,43,4
Malware-Patch (C#),4,0,0,6,7,1,0,2,0,0,3,1,9,12,0
RunCat_for_windows (C#),0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
osu (C#),402,3,35,1705,1275,92,90,129,0,35,418,171,1440,1443,88
WindowsCommunityToolkit (C#),129,0,84,163,443,37,43,67,1,9,194,45,321,315,43
DiscordChatExporter (C#),1,0,0,15,18,0,1,17,0,0,24,0,29,30,0
serilog (C#),24,0,9,37,79,1,3,23,0,5,62,3,74,40,3
SSH.NET (C#),53,3,31,489,305,9,8,33,0,8,116,23,163,141,132
play-games-plugin-for-unity (C#),4,0,11,14,13,0,0,0,0,0,2,7,3,25,3
MessagePack-CSharp (C#),128,0,22,39,185,2,27,152,0,1,309,9,311,228,17
jellyfin (C#),222,0,16,198,466,41,47,91,0,3,180,29,422,689,27
C-Sharp-Algorithms (C#),27,4,2,2,59,0,0,2,0,5,14,1,8,13,7
OFGB (C#),0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ant-design-blazor (C#),36,2,18,166,161,4,6,24,0,0,56,15,135,204,13
fluentui-blazor (C#),40,1,11,143,166,2,5,19,0,3,29,16,120,133,7
ShadowsocksR-Windows (C#),29,2,5,31,75,1,1,1,0,6,29,5,42,22,5
carnac (C#),9,0,4,7,17,1,2,1,0,0,6,1,15,22,4
FileConverter (C#),2,0,3,22,30,0,1,1,0,3,28,3,34,44,4
Humanizer (C#),12,0,4,4,45,0,8,33,0,2,64,6,73,95,3
MathUtilities (C#),7,0,1,77,38,0,0,3,0,0,4,4,65,3,9
sqlite-net (C#),4,1,2,11,24,0,2,17,0,1,32,0,21,33,2
Harmony (C#),8,2,1,14,41,22,4,25,0,1,80,10,88,206,2
NanUI (C#),0,0,0,1,1,0,0,0,0,0,2,0,2,2,1
surging (C#),167,2,34,127,347,37,42,34,0,6,86,19,248,473,76
Ombi (C#),122,2,6,101,216,15,23,73,0,3,115,6,141,736,4
aspnetboilerplate (C#),290,6,35,450,709,42,43,103,0,15,319,38,662,1035,29
MarkovJunior (C#),1,0,0,1,1,1,3,1,0,0,2,0,8,4,9
ApplicationInspector (C#),8,1,1,11,20,3,7,9,0,0,5,1,26,40,4
opencvsharp (C#),65,0,38,98,172,2,3,15,0,1,104,6,131,110,26
NLog (C#),75,3,12,94,230,3,13,107,0,7,214,16,185,167,30
MisakaTranslator (C#),3,0,0,25,37,0,0,6,0,3,29,7,22,44,17
spine-runtimes (C#),28,9,23,120,155,9,8,2,0,2,49,24,103,256,68
Covenant (C#),36,0,8,9,43,8,9,4,0,0,8,5,34,101,5
MaterialDesignInXamlToolkit (C#),21,1,27,52,121,23,13,48,0,1,116,18,155,160,4
RulesEngine (C#),8,0,3,7,18,3,1,14,1,0,18,4,23,28,2
markdig (C#),11,0,9,13,161,5,15,57,0,4,207,5,157,88,11
openhardwaremonitor (C#),56,3,42,65,143,2,6,7,0,4,11,33,75,152,46
Psychson (C#),1,0,0,0,2,0,0,0,0,0,0,0,0,2,0
msbuild (C#),182,18,110,266,671,22,73,126,2,27,427,58,434,466,159
Il2CppDumper (C#),9,0,0,3,15,1,1,0,0,0,2,2,6,79,1
Dependencies (C#),19,2,38,19,85,2,2,4,0,3,27,22,60,1013,6
Borderless-Gaming (C#),1,0,3,6,10,0,0,1,0,0,4,1,6,18,1
Discord.Net (C#),68,2,12,124,237,14,18,24,0,6,87,30,191,829,20
Lidarr (C#),458,1,43,434,782,136,157,85,1,15,343,29,733,1141,53
VsVim (C#),75,2,24,179,214,15,18,8,0,7,46,15,135,124,28
EventSourcing.NetCore (C#),30,0,1,55,93,5,3,32,0,6,66,11,97,149,4
elsa-core (C#),116,3,16,183,352,44,67,124,0,2,250,15,541,777,19
greenshot (C#),45,4,13,88,133,4,15,4,0,3,32,20,95,143,27
Cocona (C#),21,0,2,11,54,10,14,37,0,0,83,2,76,169,5
MixedRealityToolkit-Unity (C#),118,5,26,484,470,10,19,22,0,35,110,62,332,448,65
netch (C#),5,0,3,15,27,1,1,1,0,2,16,0,17,86,3
duplicati (C#),54,2,11,86,141,13,14,27,0,7,78,9,112,180,39
Terminal.Gui (C#),25,0,8,109,142,2,10,18,0,6,76,4,90,46,20
Starward (C#),11,0,10,55,84,1,4,7,0,2,37,3,59,126,1
BBDown (C#),0,0,0,2,2,7,1,7,0,0,8,0,9,22,0
g-helper (C#),3,1,7,20,22,0,0,0,0,2,44,2,24,46,12
stateless (C#),3,0,0,8,10,0,1,9,0,1,19,1,7,20,1
mpv.net (C#),6,0,4,20,25,2,2,1,0,2,6,2,22,52,3
XCharts (C#),22,2,6,169,101,4,4,0,0,7,15,7,127,88,61
blazor-workshop (C#),4,0,0,2,6,0,0,1,0,0,1,0,0,33,1
MonoGame (C#),85,6,88,150,352,38,12,90,0,15,263,33,272,213,89
ModernWpf (C#),90,3,31,147,313,18,18,14,0,23,155,27,200,178,26
UnityLibrary (C#),3,0,5,50,33,0,0,8,0,0,12,6,44,14,7
StockSharp (C#),173,1,23,212,328,29,51,20,0,10,63,37,282,316,30
RevokeMsgPatcher (C#),1,0,0,5,6,5,2,1,0,0,1,0,8,16,4
MoreLINQ (C#),2,0,0,4,30,0,5,15,0,0,94,1,16,30,3
ml-agents (C#),34,1,21,111,152,5,9,42,0,7,90,13,120,45,32
CMWTAT_Digital_Edition (C#),0,0,0,1,1,1,0,0,0,0,1,0,1,3,1
practical-aspnetcore (C#),23,0,4,30,69,8,7,16,1,1,51,7,80,102,3
oxyplot (C#),55,1,31,56,142,4,6,17,0,1,50,2,100,114,25
TensorFlowSharp (C#),4,0,5,6,24,0,4,3,0,1,24,5,21,18,4
Files (C#),107,0,47,160,331,15,15,11,0,9,75,24,233,378,14
Electron.NET (C#),5,0,2,3,26,0,2,4,0,0,28,0,30,99,5
stride (C#),803,31,367,1009,2237,95,146,274,1,51,882,154,1687,2112,382
LibreHardwareMonitor (C#),22,1,25,40,92,1,5,3,0,3,10,26,55,77,33
MicaForEveryone (C#),6,0,2,30,34,4,6,0,0,4,8,5,22,49,6
ModernFlyouts (C#),7,0,0,31,39,2,3,1,0,2,21,3,31,51,4
SuperSocket (C#),37,2,7,21,85,24,18,20,0,1,42,10,103,105,9
LiteDB (C#),57,4,6,37,105,7,14,49,0,2,95,3,99,66,21
uno (C#),482,12,196,1163,4065,48,78,206,0,127,3683,284,2279,3191,116
SimplCommerce (C#),164,0,8,36,201,9,15,44,0,0,55,3,188,397,8
quartznet (C#),50,3,7,73,167,10,13,57,0,4,132,25,162,159,31
Mapster (C#),25,0,6,8,51,4,6,48,0,1,89,5,56,134,5
ParticleEffectForUGUI (C#),0,0,0,6,5,0,0,0,0,0,1,0,1,3,2
glazewm (C#),58,0,8,25,92,0,2,3,0,0,18,2,83,139,3
csharplang (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Entitas (C#),8,0,0,50,59,2,3,24,0,0,73,3,75,208,1
CliWrap (C#),2,0,5,4,10,0,1,14,0,0,12,1,18,9,1
BepInEx (C#),4,0,2,14,19,0,0,9,0,3,12,4,30,47,4
elasticsearch-net (C#),145,1,44,51,1079,9,11,349,0,2,489,14,372,2495,394
shadowsocks-windows (C#),11,1,5,15,35,1,1,5,0,1,12,2,39,105,6
Windows-Auto-Night-Mode (C#),12,0,4,38,48,0,1,0,0,1,10,3,24,70,11
SignalR (C#),116,2,24,74,215,9,15,46,0,8,113,13,172,148,27
t3 (C#),120,4,30,419,527,5,11,16,0,4,31,75,479,670,30
WeiXinMPSDK (C#),17,0,70,15,201,7,19,27,0,5,147,8,206,1270,19
xNode (C#),1,0,0,4,10,0,0,0,0,1,5,1,7,6,2
clean-architecture-manga (C#),14,0,1,20,32,3,3,15,0,0,13,0,43,73,3
WinAppDriver (C#),5,2,6,81,98,1,1,10,0,6,57,6,50,41,4
MQTTnet (C#),58,1,12,55,126,21,13,21,0,0,67,12,89,117,17
git-credential-manager (C#),38,1,11,30,111,11,15,37,0,1,87,4,93,120,27
npgsql (C#),44,0,12,51,160,12,19,21,0,4,123,34,176,198,19
Prowlarr (C#),340,2,26,184,447,206,235,71,1,13,237,20,526,895,36
Geographical-Adventures (C#),39,0,16,79,109,1,6,8,0,3,20,4,66,93,27
Unity-Design-Pattern (C#),6,0,14,109,103,10,2,67,0,5,160,27,232,87,20
AspNetCore.Docs (C#),129,0,20,102,339,14,24,159,0,15,349,29,349,328,14
Umbraco-CMS (C#),804,5,47,326,1326,128,174,259,0,9,595,58,1333,2977,85
nopCommerce (C#),325,2,6,275,804,18,42,160,0,1,244,177,673,953,23
ailab (C#),44,1,24,75,142,3,6,5,0,3,39,8,76,168,24
garnet (C#),82,1,26,185,258,11,24,28,0,15,116,14,194,283,44
ToastFish (C#),1,0,0,2,4,0,1,2,0,2,3,0,3,13,1
Rubeus (C#),26,0,15,33,72,12,21,27,0,0,37,0,96,50,7
perfview (C#),384,10,89,127,1100,4,10,18,1,34,124,44,198,167,470
HandyControl (C#),49,3,12,106,175,13,13,7,0,5,75,18,142,360,13
open-project-1 (C#),20,0,3,179,90,5,3,4,1,4,14,25,116,116,9
downkyi (C#),8,0,45,9,84,3,1,5,0,0,10,2,54,191,18
Opserver (C#),43,1,12,5,75,4,10,2,0,0,21,14,67,275,3
WaveFunctionCollapse (C#),0,0,0,1,1,0,0,0,0,0,0,0,2,0,0
SparkleShare (C#),5,0,3,16,21,0,1,1,0,2,7,0,13,15,9
lively (C#),16,0,4,60,74,4,2,1,0,5,32,2,44,160,4
DotNetty (C#),84,2,14,140,235,15,28,74,0,4,109,25,180,300,41
mRemoteNG (C#),52,1,5,208,286,16,34,25,0,4,74,6,135,1135,57
AsyncEx (C#),7,0,1,4,18,0,0,3,0,0,22,0,3,4,4
FastEndpoints (C#),9,0,1,33,74,4,1,36,0,0,81,6,113,242,0
Blazorise (C#),101,0,12,281,343,2,15,54,0,13,116,8,225,563,10
StableSwarmUI (C#),7,0,0,13,16,0,1,1,0,0,4,3,16,25,4
devhome (C#),104,1,14,177,272,40,37,36,0,7,148,6,261,395,29
Prism (C#),63,2,12,116,212,5,8,67,0,14,179,18,162,345,23
dotnet-starter-kit (C#),30,0,2,22,56,5,4,15,0,0,21,3,63,206,2
Notepads (C#),8,0,5,24,35,4,3,0,1,1,11,5,32,66,3
blockchain (C#),0,0,0,0,1,0,0,0,0,0,1,0,1,4,0
ILSpy (C#),160,0,136,174,635,37,33,69,0,20,435,38,566,455,167
moq (C#),35,1,6,21,86,2,5,98,0,1,157,6,123,118,10
Tai (C#),30,1,17,25,68,0,2,1,0,1,11,14,20,78,1
samples (C#),160,8,43,176,413,52,39,58,1,28,218,54,351,688,82
language-ext (C#),21,0,19,17,88,4,19,113,0,2,172,4,73,1381,4
UIEffect (C#),0,0,0,12,13,0,0,1,0,0,2,0,9,3,4
1Remote (C#),25,1,7,56,100,0,1,1,0,6,47,7,71,66,4
AutoMapper (C#),17,0,3,59,110,7,2,131,0,3,200,22,267,1101,4
electrino (C#),3,0,7,0,13,0,0,0,0,1,4,2,6,9,3
AspNetCoreDiagnosticScenarios (C#),3,0,0,3,7,1,2,6,0,0,11,0,10,6,2
C-Sharp (C#),33,2,7,23,115,11,3,92,0,0,165,2,169,53,6
FreeSql (C#),1,0,0,1,2,0,0,2,0,1,1,0,3,4,0
asm-dude (C#),13,1,5,23,39,3,6,15,0,0,33,3,34,145,11
maui (C#),492,9,109,2022,2482,87,139,221,10,120,1174,237,2047,2594,156
libgit2sharp (C#),32,1,39,79,178,0,2,1,0,3,38,5,102,154,18
SteamTools (C#),26,0,6,31,73,0,4,6,0,5,32,2,59,75,7
Playnite (C#),87,6,61,142,291,43,19,13,1,59,200,55,243,407,44
Architecture (C#),0,0,0,0,2,1,0,5,0,0,8,0,7,27,0
gsudo (C#),9,0,2,9,21,4,3,4,0,1,15,1,23,21,0
ProxySU (C#),13,0,5,27,36,0,0,2,0,4,10,1,19,46,3
openiddict-core (C#),55,0,1,64,212,2,17,137,7,1,249,3,291,163,6
wavefunctioncollapse (C#),10,0,4,15,22,0,0,4,0,0,4,1,11,7,2
abp (C#),614,6,84,723,1725,83,115,603,0,24,1224,96,1949,2536,94
StackExchange.Redis (C#),17,0,11,50,86,2,14,43,0,2,82,4,97,93,9
Bulk-Crap-Uninstaller (C#),60,7,23,95,233,13,10,22,0,13,67,40,126,100,34
Jackett (C#),27,0,8,21,69,15,42,28,0,1,51,4,91,158,6
EventStore (C#),388,7,88,1366,1446,43,62,109,1,28,292,56,843,661,123
FPSSample (C#),208,8,69,494,763,53,38,68,1,31,479,41,624,462,140
CsvHelper (C#),48,1,41,8,192,4,7,75,0,1,230,6,208,90,14
Fody (C#),8,0,1,8,32,0,0,10,0,1,38,1,32,18,3
PushSharp (C#),4,0,5,15,20,9,8,10,0,1,20,2,42,42,4
Util (C#),309,4,37,390,578,304,198,95,1,11,366,70,657,630,166
Bogus (C#),14,0,1,33,42,0,2,61,0,1,78,2,75,37,12
SkiaSharp (C#),30,0,26,61,91,3,51,38,0,2,47,4,124,89,13
mathnet-numerics (C#),36,0,63,36,200,5,10,89,3,4,254,7,61,73,39
Lean (C#),1167,10,66,813,1178,111,137,199,2,37,628,61,1825,580,177
Seatbelt (C#),33,0,1,8,57,53,40,27,0,0,81,3,125,192,0
pythonnet (C#),18,0,10,18,77,3,6,3,0,2,87,6,96,171,6
YoutubeDownloader (C#),0,0,0,9,7,0,0,1,0,0,5,2,9,13,0
Flow.Launcher (C#),24,1,17,55,106,8,9,10,0,8,49,14,91,73,11
WPF-Samples (C#),37,5,27,81,187,21,17,12,0,8,93,17,121,238,26
PSReadLine (C#),2,1,5,8,12,0,0,4,0,3,7,3,7,22,1
Emby (C#),164,2,63,110,390,34,36,13,1,19,237,20,218,592,100
SyncTrayzor (C#),39,0,7,62,74,8,8,18,0,0,18,8,87,131,7
workflow-core (C#),58,0,8,63,148,17,17,119,0,1,160,12,218,177,7
PowerToys (C#),92,1,112,223,417,23,24,41,0,26,191,23,332,627,59
tModLoader (C#),58,1,34,372,415,12,19,69,0,40,460,30,529,274,57
Common.Utility (C#),0,0,2,3,3,0,4,1,0,1,4,0,4,35,4
reverse-proxy (C#),49,1,17,57,154,13,31,79,0,3,155,5,190,140,15
testcontainers-dotnet (C#),117,0,7,15,157,4,7,11,0,0,39,2,99,152,25
win-acme (C#),83,1,8,51,127,11,15,19,0,0,42,9,108,275,7
QuestPDF (C#),30,4,2,57,111,11,8,12,0,1,75,11,109,106,14
Sonarr (C#),485,2,44,460,878,161,187,113,1,11,510,35,893,1187,57
commandline (C#),7,0,30,3,35,0,2,14,0,0,32,24,34,141,7
VRTK (C#),0,0,0,2,6,0,0,0,0,1,0,0,0,0,2
Deform (C#),15,0,2,69,38,1,1,1,0,0,4,24,58,22,6
BenchmarkDotNet (C#),49,1,23,62,191,34,40,78,0,2,252,17,359,600,25
PEASS-ng (C#),48,2,29,52,129,4,7,3,0,6,33,15,76,370,45
jint (C#),149,4,28,68,240,11,35,33,0,4,87,14,214,109,31
winforms (C#),228,10,57,353,1117,13,28,166,1,41,1004,36,646,656,62
Hearthstone-Deck-Tracker (C#),45,0,18,131,218,9,8,15,1,3,74,16,134,269,11
ClosedXML (C#),84,2,25,50,214,8,31,167,0,2,259,10,229,237,22
Eto (C#),202,6,55,188,551,50,64,36,7,38,233,36,264,311,61
BetterJoy (C#),1,0,2,7,8,0,0,0,0,0,1,0,4,3,1
clashN (C#),3,0,1,13,23,0,1,0,0,1,8,0,9,41,3
Ocelot (C#),72,0,6,222,200,61,42,29,0,3,58,9,159,255,18
BiliBiliToolPro (C#),15,0,2,18,41,3,3,19,0,0,17,3,42,145,3
optimizer (C#),3,1,1,21,19,0,0,1,0,2,5,0,10,31,1
server (C#),246,2,63,175,450,131,146,323,2,5,404,32,599,866,33
privatezilla (C#),2,0,52,1,63,0,0,0,0,0,10,0,1,6,0
CefSharp (C#),90,2,197,54,403,6,9,20,1,9,95,192,348,589,23
OptiKey (C#),20,5,38,75,110,5,3,12,0,10,63,13,118,184,19
crest (C#),13,0,0,82,63,4,5,3,0,2,15,5,67,39,4
shadowsocksr-csharp (C#),16,3,19,32,41,1,4,1,0,6,7,12,28,41,29
ContextMenuManager (C#),7,0,4,38,30,0,0,1,0,6,3,3,42,38,8
jynew (C#),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
MailKit (C#),19,0,11,33,106,2,7,27,0,7,96,4,87,120,36
radzen-blazor (C#),49,4,17,67,135,1,8,22,0,6,57,8,100,165,14
orleans (C#),513,5,71,415,1077,42,85,204,0,21,357,48,855,1682,50
coravel (C#),19,0,4,24,63,2,2,48,0,1,73,5,101,51,3
FluentValidation (C#),24,0,2,25,50,1,1,22,0,2,49,1,59,151,8
ShareX (C#),96,3,32,195,274,57,41,32,0,11,120,26,291,216,63
FluentTerminal (C#),43,0,7,53,97,4,7,3,0,4,31,7,59,97,4
choco (C#),33,0,20,50,90,0,2,15,0,5,31,2,85,192,13
clean-code-dotnet (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OneOf (C#),64,0,62,0,70,0,0,5,0,0,11,0,8,37,0
example-voting-app (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
xunit (C#),49,1,5,93,197,13,17,50,0,1,156,3,166,340,12
neo (C#),86,1,19,112,232,32,34,52,0,6,154,10,166,104,44
QFramework (C#),21,3,25,129,116,5,3,6,0,12,36,19,95,154,38
mobile (C#),87,3,23,157,249,9,12,17,0,2,74,10,154,401,18
akka.net (C#),558,8,180,639,1324,187,157,162,0,29,540,65,1054,1457,100
awesome-dotnet-core (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LenovoLegionToolkit (C#),46,1,10,66,144,1,4,3,0,2,53,9,100,110,5
GoogleTranslateIpCheck (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
IdentityServer4.Admin (C#),42,0,3,35,78,8,3,21,1,0,31,2,41,361,4
Kavita (C#),8,0,0,21,37,0,0,9,0,0,30,0,17,8,5
MudBlazor (C#),105,1,17,200,281,5,7,45,0,3,93,18,172,264,22
