,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
tensorrtx (C++),117,40,138,11,189,114,79,394,31,64,248,94,65,26,194,26,32,27
nghttp2 (C++),129,47,470,7,144,167,287,557,49,138,107,13,58,2,59,25,21,3
upx (C++),122,39,203,24,30,291,150,394,44,242,119,3,54,34,267,123,20,9
Proton (C++),3211,1496,912,6,1568,886,524,6199,76,858,2071,29,232,4,2799,167,2,137
Hyprland (C++),106,194,300,13,103,637,322,803,416,112,238,9,82,0,89,202,2,2
bloaty (C++),63,46,54,7,10,47,36,125,30,36,41,0,9,0,2,37,0,2
FasterTransformer (C++),81,92,248,9,119,427,114,394,124,299,304,109,212,20,78,184,22,12
Atmosphere (C++),1052,691,1424,90,811,1032,2329,4598,2448,2230,951,61,345,15,175,2698,74,36
oneTBB (C++),414,382,788,72,405,793,601,1499,345,622,1037,318,252,32,211,498,87,90
dogecoin (C++),354,555,759,36,249,882,593,1455,291,350,570,14,179,22,130,288,25,13
doctest (C++),57,17,67,0,27,105,55,135,28,33,87,9,21,0,38,23,33,18
pbrt-v3 (C++),190,138,528,27,58,116,120,513,123,353,382,30,91,33,35,108,27,6
cppcheck (C++),215,507,598,32,189,1944,314,1577,574,403,339,21,63,6,157,689,23,82
Gource (C++),107,67,173,9,69,187,104,265,31,14,57,8,20,17,27,24,3,18
proxysql (C++),72,210,503,77,141,512,429,721,147,214,265,11,121,30,41,186,22,6
clip (C++),54,41,74,0,17,20,57,64,38,58,59,8,7,0,14,67,1,1
TinyWebServer (C++),1,31,12,5,8,28,27,32,1,16,15,0,13,0,1,6,0,0
moonlight-qt (C++),36,111,84,15,39,140,123,282,69,116,86,1,42,4,70,113,10,1
libzmq (C++),58,79,233,2,57,217,177,277,27,114,104,6,51,2,51,82,13,4
easyeffects (C++),19,0,37,37,10,108,15,140,91,58,75,2,84,0,19,33,4,2
AI4Animation (C++),2193,246,5357,100,569,1276,2281,8412,1217,1937,1822,156,181,196,435,1625,428,37
AutoHotkey (C++),94,137,695,25,91,146,553,772,153,222,107,9,42,26,32,194,21,1
winmerge (C++),1684,1370,2758,328,972,3012,1750,7949,1643,2037,2663,243,950,285,3251,2414,565,85
algorithms_and_data_structures (C++),131,87,170,6,62,165,66,358,38,93,196,21,34,2,44,50,17,16
cosmos (C++),192,112,444,12,140,334,284,730,152,128,369,28,45,22,107,125,39,23
supercollider (C++),1971,1164,3104,81,1138,2307,1812,8547,1687,2079,3543,376,615,52,3372,2158,305,96
tinyrenderer (C++),13,5,23,1,2,2,4,24,2,2,3,0,0,0,0,2,0,0
CopyQ (C++),137,289,585,10,175,948,537,1537,191,372,213,6,52,81,94,445,28,3
love (C++),4947,2741,4615,154,4192,1647,1323,8267,2541,2656,863,1064,338,187,311,1357,110,967
LearnOpenGL (C++),51,63,67,4,28,68,39,145,101,65,103,12,37,0,12,28,7,6
aria2 (C++),662,619,885,6,730,1224,698,1789,913,419,577,11,125,12,249,956,325,25
snappy (C++),22,20,20,0,15,9,22,10,0,17,18,0,8,0,11,9,4,0
cvxpy (C++),598,91,1309,28,135,204,462,2064,236,619,494,51,51,3,111,490,63,8
tiled (C++),525,513,1373,29,498,2327,514,3915,401,440,688,13,185,87,118,491,32,11
node-opencv (C++),0,0,3,0,13,22,0,29,12,1,35,1,15,0,0,8,0,0
duckstation (C++),1146,1642,2848,126,734,9329,1959,11807,1041,2311,1200,110,331,46,461,1581,174,36
VINS-Mono (C++),46,49,77,12,30,104,39,200,76,31,74,7,13,7,17,70,1,12
tinyraytracer (C++),0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
guetzli (C++),17,9,18,5,7,18,8,21,7,13,21,2,1,0,0,0,0,2
cpp-cheat-sheet (C++),3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
oatpp (C++),261,170,524,12,134,231,381,991,219,171,351,38,29,6,60,264,7,6
crow (C++),71,13,56,5,36,62,63,92,23,28,31,7,6,3,5,26,10,5
aseprite (C++),984,674,1371,68,675,2581,733,4207,776,471,917,56,293,232,496,843,226,7
Tengine (C++),233,292,1023,11,104,419,467,1259,194,416,651,109,73,19,25,345,29,6
QtScrcpy (C++),6,7,21,0,11,100,29,98,25,11,13,0,10,1,5,18,4,0
ardupilot (C++),1258,3088,2190,335,1172,4683,2462,4199,1108,1542,860,7,150,3,1922,1499,411,65
WLED (C++),184,194,378,14,164,458,271,428,194,237,145,11,30,0,133,174,68,7
falco (C++),30,37,51,7,29,82,51,138,38,17,46,6,11,0,9,36,2,1
mactype (C++),171,126,213,6,70,81,167,373,38,86,120,10,45,9,48,54,2,3
organicmaps (C++),1289,667,1536,155,834,1622,778,2980,272,572,1447,118,317,31,209,363,162,122
KeyDB (C++),144,153,266,17,86,221,163,386,89,228,233,37,104,36,37,122,48,16
mlx (C++),64,62,273,6,47,161,202,424,144,288,203,7,16,0,185,322,2,6
arcore-android-sdk (C++),131,6,51,1,172,401,28,632,66,47,97,2,12,1,15,43,0,1
olive (C++),516,290,849,9,418,1868,391,2801,430,433,491,7,64,46,154,606,117,11
box2d (C++),217,77,259,33,148,410,96,577,59,137,222,26,49,15,27,48,16,12
PrismLauncher (C++),372,407,735,4,284,1163,465,2202,374,285,424,9,178,25,272,483,30,1
gdal (C++),54,43,118,4,36,51,93,148,41,75,77,5,37,11,25,48,3,1
Z0FCourse_ReverseEngineering (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndk-samples (C++),121,86,128,16,107,266,117,256,58,110,105,2,63,1,36,77,19,0
openvr (C++),1420,759,572,9,1129,248,235,1155,141,747,525,238,41,6,69,81,63,270
ConEmu (C++),289,850,988,77,365,979,1257,2158,653,780,303,22,239,13,179,1001,36,22
The-Powder-Toy (C++),225,110,397,16,259,999,215,815,98,155,254,7,92,4,24,85,113,6
glog (C++),19,7,28,0,8,42,12,41,3,10,37,3,16,0,6,6,3,1
IoT-For-Beginners (C++),15,15,20,0,6,68,23,16,6,9,14,0,0,0,4,0,0,0
flatbuffers (C++),276,259,1063,36,211,982,426,1822,189,1472,276,69,53,4,236,1502,27,20
bitcoin (C++),540,901,1417,50,350,1184,834,2536,720,614,883,36,216,21,430,646,80,26
Stockfish (C++),38,37,103,9,23,66,28,160,36,45,46,6,9,1,6,36,2,3
zcash (C++),429,624,959,34,267,593,552,1615,314,437,742,43,164,15,271,313,29,14
hybridclr (C++),48,23,138,36,38,148,99,243,23,58,15,0,6,12,11,55,1,1
codon (C++),237,78,816,18,235,653,467,1578,168,131,269,57,5,2,86,131,32,7
Cpp_Primer_Practice (C++),34,1,21,0,6,7,17,21,5,1,35,12,7,0,1,0,2,5
benchmark (C++),79,17,46,0,26,33,44,89,10,23,42,1,16,2,8,14,9,1
instant-meshes (C++),46,30,25,2,28,52,5,117,9,9,32,0,2,0,8,7,0,3
uWebSockets (C++),19,9,69,3,13,21,54,63,31,24,19,3,6,1,8,13,3,1
goldendict (C++),247,168,306,39,121,711,244,872,97,141,330,8,150,24,52,175,12,2
ORB_SLAM2 (C++),165,121,190,25,104,189,160,483,100,51,112,7,52,14,32,96,3,3
muduo (C++),104,65,169,4,116,408,89,393,127,83,190,3,48,3,23,94,4,4
QuantLib (C++),2599,196,3531,89,845,753,461,6565,415,848,2273,63,16,2,290,557,48,66
flashlight (C++),130,52,598,14,62,221,288,727,210,283,276,38,30,0,201,278,13,11
Waifu2x-Extension-GUI (C++),0,30,123,0,13,246,144,226,33,14,3,0,3,0,0,37,0,0
sysdig (C++),16,21,90,2,33,103,62,89,63,21,35,3,17,0,8,52,0,0
async-profiler (C++),59,75,241,15,72,176,189,325,74,181,62,3,20,2,65,160,12,1
cp-algorithms (C++),0,1,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0
ModSecurity (C++),45,194,109,4,57,72,197,184,164,60,274,11,55,4,56,132,1,5
zeek (C++),1002,949,1652,84,482,1433,1363,3301,590,458,921,60,270,80,249,588,81,67
libigl (C++),123,35,285,15,84,86,240,570,68,104,94,17,24,2,41,60,13,2
slambook2 (C++),23,11,23,1,13,23,19,66,19,20,29,0,2,3,13,24,18,2
pedalboard (C++),72,41,143,6,52,139,99,266,49,37,50,0,45,3,39,41,8,3
wav2letter (C++),7,0,72,0,5,22,24,54,32,25,52,2,3,0,8,19,2,0
winget-cli (C++),68,22,121,0,35,111,74,396,97,124,168,24,8,0,144,147,5,3
QGIS (C++),1763,953,2992,74,579,1476,1232,5309,889,676,929,100,155,40,310,889,23,39
BlackDex (C++),306,263,614,3,108,439,270,884,98,216,309,20,70,21,78,169,32,17
LeetCode-Solutions (C++),76,241,1548,28,80,257,1616,946,1816,944,194,2,4,39,393,2604,0,1
Stacer (C++),41,9,47,0,28,181,15,167,40,44,36,0,27,5,1,58,0,0
ppsspp (C++),1000,1183,2058,190,861,4476,1717,5901,571,2014,953,42,417,84,784,1665,313,91
lmms (C++),692,262,887,77,630,2306,542,2793,389,497,667,36,198,98,224,578,87,10
hardseed (C++),35,29,33,0,1,0,14,14,10,18,38,5,15,0,5,13,0,1
al-khaser (C++),0,0,0,0,0,1,0,3,0,2,3,0,0,0,2,2,0,0
monero (C++),564,1426,1003,79,335,812,1282,2090,488,624,731,60,226,43,333,662,156,30
safetynet-fix (C++),0,1,1,0,0,11,2,7,0,0,1,0,0,0,0,0,5,0
Whisper (C++),164,50,901,19,151,154,344,755,157,1424,144,14,49,0,35,1133,3,7
shotcut (C++),153,204,451,13,160,1337,318,1395,231,82,254,2,91,49,180,246,5,4
triton (C++),105,61,258,8,43,97,157,455,329,114,152,7,4,13,45,352,1,5
liquidfun (C++),449,178,604,54,319,860,270,1350,160,423,530,48,167,78,90,263,62,11
swig (C++),233,36,894,38,132,218,640,1191,102,426,768,34,333,31,829,432,385,3
snapcast (C++),206,173,326,8,118,413,166,731,106,131,393,27,73,0,102,118,37,24
wxWidgets (C++),4857,6678,8108,428,3695,11219,6739,20768,3009,3640,4781,567,1448,842,2023,4396,700,194
MVision (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FileCentipede (C++),8,15,14,2,24,185,19,153,26,14,43,2,13,3,2,27,10,0
z3 (C++),2624,5321,6839,932,1317,9522,7436,20367,2102,1670,1916,143,593,126,1079,2124,600,577
NonEuclidean (C++),2,3,58,7,5,65,4,43,11,30,34,0,14,0,1,6,3,0
tesseract (C++),662,724,929,147,420,1146,700,1827,538,305,376,43,110,41,81,376,17,61
CNTK (C++),1126,427,1257,93,316,1621,1022,3015,690,512,874,66,186,31,435,751,334,118
sqlitebrowser (C++),813,511,1218,69,652,1655,556,2881,301,279,424,25,186,29,201,326,27,22
opencv_contrib (C++),1364,389,1380,158,1016,1521,889,2968,733,911,1234,62,444,13,403,951,100,44
Catch2 (C++),307,194,386,6,185,364,147,867,116,278,458,50,47,0,227,153,112,42
QWidgetDemo (C++),2356,794,2537,151,1655,3386,748,7354,944,496,1083,45,557,116,208,1010,48,48
Arduino-IRremote (C++),0,38,13,1,22,107,40,82,11,22,11,0,0,0,14,22,6,0
mediasoup (C++),202,140,383,18,180,478,168,703,225,241,159,34,88,10,48,234,9,30
flutter-desktop-embedding (C++),2,6,14,0,12,2,13,22,2,8,6,0,6,0,2,6,2,0
JoltPhysics (C++),577,333,713,88,320,1040,290,2266,467,342,277,65,79,63,177,288,83,29
perspective (C++),250,83,606,9,98,281,152,981,130,128,167,16,32,0,75,122,14,12
QOwnNotes (C++),442,465,1109,48,224,1358,843,2102,603,327,494,48,112,20,178,655,47,31
WechatExporter (C++),59,112,112,26,79,94,110,248,76,57,54,0,26,1,23,82,12,1
AndFix (C++),2,0,8,0,0,13,8,23,4,0,4,0,0,1,1,1,0,0
Piccolo (C++),1135,657,1696,119,607,1623,846,3847,721,880,1253,156,256,62,337,624,142,79
openmw (C++),1376,1045,2559,163,1203,4745,1378,7166,1845,1011,1822,173,270,129,631,1757,234,76
nekoray (C++),21,29,126,2,17,112,99,219,43,28,71,6,26,3,28,40,5,1
CodingInterviewChinese2 (C++),1,1,8,0,1,6,3,8,2,2,8,1,3,0,1,2,0,0
react-native-mmkv (C++),0,0,3,0,0,0,2,1,3,2,3,0,2,0,0,5,0,0
wabt (C++),168,108,1340,2,160,352,1062,2032,130,221,217,43,16,0,333,235,10,1
cocos-engine (C++),2242,940,2294,189,1593,3511,1621,5953,832,1310,1093,112,496,72,484,1045,384,61
thrift (C++),418,219,1089,42,333,1645,948,1984,525,394,572,43,155,37,286,722,73,25
Clipboard (C++),44,29,82,0,16,33,53,140,7,24,62,6,6,0,4,14,0,12
Natron (C++),1216,1429,3898,290,753,4268,1679,8429,976,1191,1764,158,707,132,758,1369,245,126
Tars (C++),1,0,7,0,1,5,7,9,10,5,2,0,7,0,1,15,3,0
albert (C++),32,15,78,3,17,70,30,173,21,23,45,3,11,2,19,27,6,1
Blackbone (C++),339,58,858,3,175,82,619,1407,55,258,164,36,75,20,37,104,6,4
re2 (C++),84,69,141,7,39,63,118,169,66,59,63,7,21,31,15,89,2,4
LibreSprite (C++),793,448,1117,38,514,1685,585,3014,598,443,823,51,262,324,387,645,143,23
mumble (C++),169,232,295,101,148,1021,212,1185,633,327,367,8,134,34,91,698,36,13
algorithms (C++),48,33,74,5,37,86,57,154,12,34,19,1,26,9,17,16,2,1
Paddle-Lite (C++),813,1056,1448,199,469,1472,1013,2701,1546,1009,1438,141,237,8,592,1341,96,33
FreeCAD (C++),3175,3542,7768,405,2341,10071,5057,17162,4324,2688,4496,197,1266,650,2218,4914,574,167
duilib (C++),274,200,548,6,260,485,434,1346,52,190,127,8,58,13,165,141,35,10
tinyxml2 (C++),57,32,122,3,19,82,58,130,21,28,17,2,14,2,24,25,0,4
udp2raw (C++),9,4,41,1,5,14,35,37,2,24,15,2,3,0,13,16,0,0
cuberite (C++),505,933,785,98,363,1715,828,2877,978,609,622,21,128,13,420,939,186,4
opentoonz (C++),3,9,11,0,3,0,1,0,1,6,9,2,0,0,0,2,0,0
openFrameworks (C++),1058,701,1526,33,676,2462,1050,2580,377,812,438,59,190,10,253,577,2196,167
meshoptimizer (C++),3,5,7,0,1,0,1,2,0,7,3,0,2,0,4,0,0,0
DOOM-3-BFG (C++),1378,1028,2464,369,1100,4102,1990,5847,1022,575,598,18,304,85,507,752,402,76
openh264 (C++),28,34,181,21,98,148,132,229,20,110,118,1,55,1,76,30,22,18
plaidml (C++),142,48,284,3,123,114,134,427,261,106,216,8,4,0,32,288,4,2
notepad-plus-plus (C++),890,1057,2443,91,666,2260,1575,4556,484,1395,977,76,255,25,398,1091,116,87
LightGBM (C++),257,83,300,70,71,397,120,498,117,210,242,13,127,22,96,169,18,15
json (C++),160,351,301,5,144,225,352,517,99,113,250,21,20,0,102,128,23,10
OpenRCT2 (C++),266,307,959,28,266,1143,309,1669,468,572,322,10,64,4,77,439,78,10
Arduino (C++),341,590,1007,17,327,566,1024,1117,170,400,322,52,139,15,192,332,38,26
mesos (C++),250,309,1978,15,243,1126,1312,2656,752,679,1074,78,396,68,171,878,50,12
esphome (C++),960,870,933,56,3537,1862,675,3545,4006,855,817,14,28,8,912,2713,240,22
WickedEngine (C++),49,94,141,3,23,175,129,314,34,47,49,5,4,0,36,37,0,2
N64Recomp (C++),0,1,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,0
openalpr (C++),260,226,449,12,132,257,333,621,145,196,300,37,164,44,54,164,25,11
leela-zero (C++),152,60,238,6,59,144,98,266,102,73,154,56,10,0,7,51,5,2
GSL (C++),2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
DeepSpeech (C++),988,846,2247,88,442,1326,900,4059,411,404,1576,344,207,116,430,499,94,27
tigervnc (C++),232,267,297,43,228,750,406,699,145,145,328,11,185,29,57,151,70,9
engine-sim (C++),188,33,211,15,105,324,67,318,22,35,120,0,120,6,23,11,32,9
3d-game-shaders-for-beginners (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xbmc (C++),3093,5382,5795,263,2531,5878,6279,11743,3107,1936,2565,162,905,261,1877,3536,540,76
waifu2x-caffe (C++),64,37,78,2,22,109,48,176,64,29,79,2,33,0,6,54,2,2
kbd-audio (C++),19,31,3,1,6,1,24,30,0,1,3,0,1,0,0,1,2,0
AppImageLauncher (C++),7,13,5,0,5,24,12,40,8,2,17,0,5,0,1,7,0,0
rethinkdb (C++),625,850,1724,81,387,1185,932,2905,453,638,1553,84,484,167,327,560,55,39
s3fs-fuse (C++),38,217,111,0,66,15,207,221,53,42,35,0,27,3,25,71,0,0
LAVFilters (C++),117,21,1187,6,182,99,821,1314,100,286,195,4,123,8,167,157,10,2
MyTinySTL (C++),161,37,578,4,55,201,290,785,18,53,106,41,8,0,50,33,1,0
jetson-inference (C++),60,107,180,3,41,39,197,158,30,72,48,0,26,30,67,65,7,9
Detours (C++),141,94,298,1,100,157,159,553,32,117,173,17,44,9,68,54,22,17
ThreadPool (C++),0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
x64dbg (C++),114,202,335,24,197,1296,321,1400,210,189,178,4,98,7,55,258,5,2
rapidjson (C++),120,326,97,1,97,84,248,278,49,112,112,16,34,3,125,116,7,3
git-crypt (C++),6,4,20,1,7,13,8,24,1,15,19,0,10,4,0,1,0,0
edge (C++),89,72,232,6,39,19,119,287,69,144,98,13,16,4,32,125,0,10
btop (C++),56,9,129,0,40,31,95,244,33,50,100,6,17,0,35,31,79,6
arrayfire (C++),178,51,171,9,65,170,91,444,125,256,286,37,34,0,83,259,63,25
Hippy (C++),342,175,363,10,323,548,324,1095,249,194,263,12,57,8,70,291,36,2
typesense (C++),251,253,999,42,126,401,649,1199,258,186,225,31,56,10,82,299,37,11
30dayMakeCppServer (C++),79,3,78,0,103,106,36,172,58,69,129,2,103,0,6,12,0,0
fswatch (C++),15,22,9,0,24,34,20,48,5,5,13,4,7,1,2,6,1,1
AirSim (C++),339,312,1152,68,339,1342,758,1532,338,428,724,24,81,7,155,488,32,21
leveldb (C++),52,52,285,13,60,214,176,371,95,88,126,4,70,10,23,103,9,6
SeetaFaceEngine (C++),33,9,41,7,19,85,27,51,8,10,48,1,38,0,5,15,3,0
WasmEdge (C++),642,173,1432,3,196,347,835,1915,436,947,1226,122,94,0,198,992,32,49
vowpal_wabbit (C++),260,110,457,30,164,297,287,718,226,166,343,26,50,15,95,233,24,12
duckdb (C++),9,1,11,0,3,9,11,15,9,6,8,0,4,0,3,11,3,0
GuiLite (C++),70,12,70,6,104,154,44,116,14,16,28,0,2,0,4,10,10,0
better-sqlite3 (C++),7,2,12,0,9,20,15,38,45,8,11,0,6,0,4,51,0,0
implot (C++),11,26,66,2,18,31,20,62,9,34,77,0,2,0,0,5,0,0
mlpack (C++),2200,190,1104,297,273,798,635,2422,411,562,847,227,155,71,157,352,84,23
cpr (C++),37,23,93,2,62,94,59,178,33,23,111,4,12,0,9,12,1,2
SFML (C++),152,87,256,11,110,242,208,525,68,158,112,32,47,0,74,123,86,0
xournalpp (C++),455,74,677,12,364,664,294,1551,437,225,351,27,104,5,54,367,53,12
interview (C++),0,2,1,6,3,16,3,20,0,0,9,0,5,7,13,7,0,1
Squirrel.Windows (C++),234,148,1462,31,289,319,587,1449,257,1838,251,5,53,3,153,1323,38,4
Relativty (C++),183,36,256,12,40,66,186,97,21,346,54,4,3,0,39,73,15,4
cpprestsdk (C++),250,150,544,10,196,235,315,910,142,211,358,48,121,1,64,213,22,26
smartknob (C++),4,6,18,1,11,32,8,23,0,17,15,0,12,0,2,0,1,0
BetterNCM (C++),9,1,9,1,6,8,7,19,17,9,12,1,6,1,1,16,0,0
lnav (C++),1212,379,1834,67,689,596,820,2836,830,605,763,93,87,3,300,706,154,36
fprime (C++),254,108,299,47,309,709,194,1148,802,226,554,43,301,1,121,669,87,2
polybar (C++),140,122,181,2,69,342,127,345,81,122,140,4,43,0,14,77,10,31
vnote (C++),327,264,585,22,160,967,404,1784,367,345,234,19,42,69,47,478,27,5
pywin32 (C++),154,131,2778,19,162,439,2513,2854,177,839,785,25,473,53,185,754,9,8
mosh (C++),46,47,96,3,49,89,34,91,18,54,63,4,10,0,4,27,2,2
qBittorrent (C++),394,229,520,6,273,1116,140,1614,219,334,245,34,83,5,36,418,2,25
thorium (C++),30,86,145,2,30,152,91,281,43,36,40,0,14,1,11,45,5,1
Marlin (C++),252,299,471,53,377,1250,659,759,672,841,242,2,19,2,182,1215,52,5
UDPspeeder (C++),10,3,63,0,15,9,47,45,3,25,16,2,6,0,13,16,0,0
MaaAssistantArknights (C++),22,46,164,0,15,13,88,189,12,11,35,1,1,18,4,8,1,10
360Controller (C++),3,18,54,5,14,33,46,92,35,60,7,2,3,1,9,68,0,0
