,entity,minimal-entity,data-provider,commander,boundary,factory,controller,pure-controller,large-class,lazy-class,degenerate,data-class,small-class,empty,unclassified
modern-cpp-tutorial (C++),1,0,0,6,4,0,0,0,0,1,2,1,9,8,0
brpc (C++),103,7,120,134,415,1,7,83,0,7,269,58,491,799,136
gnuradio (C++),131,3,136,104,816,1,18,29,0,32,570,56,755,82,233
magnum (C++),81,4,151,65,437,0,27,97,0,32,405,49,205,953,20
LANDrop (C++),2,0,0,8,9,0,0,0,0,0,2,0,1,0,1
notepad-- (C++),0,0,0,1,1,0,1,0,0,1,2,1,1,2,0
annoy (C++),0,0,0,1,0,0,0,0,0,0,1,0,0,14,4
DearPyGui (C++),40,1,32,59,165,0,2,3,0,4,14,5,66,140,13
gemma.cpp (C++),5,0,14,7,22,0,0,14,0,0,18,2,28,30,4
mold (C++),132,2,145,208,619,6,22,86,0,25,306,121,735,1015,84
dxvk (C++),95,3,127,45,238,0,21,10,0,12,49,19,116,450,30
ncnn (C++),77,0,127,8,275,0,66,418,0,8,890,5,502,232,63
AI-on-the-edge-device (C++),4,0,2,6,8,0,0,0,0,0,2,0,1,27,14
tiny-dnn (C++),50,6,157,53,293,0,16,27,0,14,127,32,230,548,33
ledger (C++),22,2,23,54,81,0,3,3,0,4,17,4,46,38,13
cutter (C++),33,1,37,76,125,0,17,7,0,3,21,4,64,104,23
ORB_SLAM3 (C++),32,1,48,30,109,1,4,3,0,7,28,20,52,93,16
AliSQL (C++),529,14,262,427,1330,197,39,94,0,60,514,101,825,3135,283
hyperscan (C++),41,2,168,55,300,14,20,16,0,3,67,19,266,784,35
electron (C++),54,3,25,85,202,1,10,29,2,13,113,4,93,282,26
gameplay (C++),16,1,14,51,87,0,1,2,0,3,12,3,18,34,39
Cpp-Primer (C++),3,0,29,6,30,0,1,1,0,0,11,8,34,22,8
CLRS (C++),2,0,6,4,9,0,0,0,0,0,2,0,3,12,7
magic_enum (C++),19,0,73,17,115,0,0,3,0,7,36,25,117,181,9
noMeiryoUI (C++),4,0,1,1,8,0,0,0,0,0,1,1,0,4,1
mace (C++),217,1,49,41,309,0,21,51,0,7,91,29,327,289,33
SPTAG (C++),25,3,28,15,76,0,1,1,0,0,13,6,26,33,14
tensorrtx (C++),3,1,10,7,10,0,1,1,0,4,26,2,10,23,4
nghttp2 (C++),14,0,9,8,48,0,0,0,0,2,8,2,14,132,12
upx (C++),11,0,14,33,53,0,0,1,0,6,39,2,40,142,12
Proton (C++),10,0,16,11,560,0,0,0,0,1,5,5,534,11102,3
Hyprland (C++),20,1,16,57,92,0,11,3,0,10,23,3,56,76,61
bloaty (C++),8,0,18,0,34,0,1,0,0,0,15,5,25,116,4
FasterTransformer (C++),33,0,20,94,125,0,3,29,0,0,44,2,112,356,30
Atmosphere (C++),117,3,219,273,693,1,42,64,0,46,221,81,288,1120,182
oneTBB (C++),122,1,123,178,562,6,21,81,0,24,300,111,689,784,74
dogecoin (C++),75,1,102,95,260,1,5,34,0,8,85,21,198,189,74
doctest (C++),1,0,8,7,16,0,1,1,0,1,13,0,15,65,4
pbrt-v3 (C++),27,1,142,18,218,14,18,4,0,1,25,11,178,395,16
cppcheck (C++),27,4,53,70,154,0,7,13,0,3,87,13,110,132,36
Gource (C++),2,0,6,12,15,0,0,0,0,0,1,0,11,3,16
proxysql (C++),33,0,20,26,86,0,1,2,0,2,25,6,56,331,22
clip (C++),6,0,10,0,11,0,0,0,0,1,7,4,9,61,5
TinyWebServer (C++),2,0,3,4,7,0,0,0,0,0,0,0,2,3,2
moonlight-qt (C++),19,0,12,22,48,0,1,1,0,2,16,5,20,22,8
libzmq (C++),18,1,18,11,44,0,0,0,0,2,4,2,9,59,24
easyeffects (C++),9,0,1,17,26,0,0,0,0,0,3,4,33,62,12
AI4Animation (C++),84,3,181,83,403,0,11,38,4,16,171,15,24,1227,35
AutoHotkey (C++),18,1,17,5,59,0,3,2,0,4,17,7,26,167,6
winmerge (C++),189,11,324,200,696,34,41,39,1,78,414,74,419,5289,131
algorithms_and_data_structures (C++),15,0,59,18,99,0,0,3,0,5,32,18,92,139,9
cosmos (C++),32,2,65,42,163,1,5,21,0,5,81,20,158,399,39
supercollider (C++),219,9,463,303,1222,6,37,110,1,107,624,155,974,9370,164
tinyrenderer (C++),2,0,7,0,4,0,0,0,0,0,0,1,2,4,0
CopyQ (C++),47,6,31,65,154,0,3,4,1,8,21,9,57,73,13
love (C++),72,31,568,78,1898,4,9,17,0,9,895,129,1006,2817,89
LearnOpenGL (C++),6,1,20,15,34,0,4,4,0,1,14,4,28,371,5
aria2 (C++),86,4,80,134,278,2,10,223,0,18,322,19,311,128,115
snappy (C++),0,0,4,1,3,0,0,0,0,0,5,4,4,10,6
cvxpy (C++),82,1,193,31,423,0,5,41,0,11,226,22,272,1589,8
tiled (C++),144,9,84,202,418,0,2,13,1,20,47,13,136,143,42
node-opencv (C++),0,0,0,22,17,0,0,7,0,0,7,3,32,3,1
duckstation (C++),164,5,251,159,551,6,14,19,0,18,107,53,286,2362,104
VINS-Mono (C++),2,0,19,7,25,1,1,3,0,4,14,1,22,11,7
tinyraytracer (C++),0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
guetzli (C++),1,0,7,2,6,0,0,0,0,0,0,0,3,19,1
cpp-cheat-sheet (C++),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oatpp (C++),72,2,56,26,195,0,7,69,0,13,101,11,152,159,16
crow (C++),5,0,7,9,22,0,1,4,0,0,16,2,20,50,7
aseprite (C++),144,7,129,253,495,1,13,80,0,19,186,68,325,250,129
Tengine (C++),107,2,64,60,211,8,2,7,0,0,54,16,163,529,26
QtScrcpy (C++),3,0,0,7,8,1,1,2,0,0,3,0,3,3,1
ardupilot (C++),66,2,117,326,328,0,7,26,0,23,269,34,284,1305,354
WLED (C++),11,0,43,39,56,0,2,3,0,5,22,16,46,156,46
falco (C++),7,1,8,14,23,0,0,5,0,2,7,1,22,33,8
mactype (C++),17,0,28,6,54,0,1,1,0,2,12,9,25,150,12
organicmaps (C++),131,13,261,189,501,1,12,32,0,15,184,90,405,547,133
KeyDB (C++),15,2,45,30,135,15,16,3,0,3,34,15,147,737,23
mlx (C++),37,0,32,22,155,0,2,3,0,2,94,7,77,61,28
arcore-android-sdk (C++),3,3,6,19,29,0,0,3,0,1,5,5,7,131,6
olive (C++),68,8,33,155,306,0,3,10,0,1,70,10,79,25,74
box2d (C++),28,0,29,93,112,0,0,2,0,3,9,12,86,240,21
PrismLauncher (C++),91,5,70,133,288,1,8,27,0,6,88,13,115,108,40
gdal (C++),13,0,17,17,54,1,3,9,0,4,25,9,54,136,7
Z0FCourse_ReverseEngineering (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ndk-samples (C++),9,0,14,31,41,0,1,4,0,5,11,5,22,112,8
openvr (C++),15,0,161,48,129,0,1,4,0,4,12,62,72,567,92
ConEmu (C++),75,1,27,43,202,0,3,2,0,3,48,12,68,464,37
The-Powder-Toy (C++),31,2,40,83,109,0,2,9,0,1,25,9,103,90,22
glog (C++),3,1,7,8,9,0,0,1,0,0,7,2,14,32,4
IoT-For-Beginners (C++),1,0,0,2,1,0,2,0,0,0,0,0,1,2,3
flatbuffers (C++),48,1,66,34,135,0,2,3,0,8,52,28,79,221,12
bitcoin (C++),107,2,192,123,417,1,27,55,1,18,171,37,311,381,102
Stockfish (C++),9,1,19,6,38,0,2,1,0,0,13,5,26,23,4
zcash (C++),78,2,172,71,288,1,3,29,0,10,96,32,205,235,81
hybridclr (C++),5,0,2,4,25,0,0,2,0,0,18,0,19,959,3
codon (C++),41,3,91,47,162,0,6,9,0,16,31,18,148,76,9
Cpp_Primer_Practice (C++),1,0,9,1,4,0,0,0,0,0,3,3,12,2,3
benchmark (C++),3,0,9,7,24,2,0,1,0,1,12,4,20,22,5
instant-meshes (C++),5,0,6,2,13,0,1,1,0,0,7,1,14,55,3
uWebSockets (C++),7,0,3,3,17,0,1,1,0,1,2,3,17,31,4
goldendict (C++),31,3,68,108,130,1,3,5,0,10,36,22,133,201,21
ORB_SLAM2 (C++),22,4,22,14,57,1,2,2,0,4,15,5,28,19,14
muduo (C++),13,1,18,49,65,0,2,3,0,0,17,3,26,29,21
QuantLib (C++),372,14,872,101,1410,2,59,41,0,18,174,92,750,864,38
flashlight (C++),43,0,69,14,159,0,5,9,0,5,66,7,106,102,33
Waifu2x-Extension-GUI (C++),0,0,0,1,2,0,0,0,0,0,1,0,1,0,0
sysdig (C++),1,0,2,10,10,0,0,1,0,0,6,1,15,31,7
async-profiler (C++),16,0,17,14,49,0,0,2,0,1,9,1,19,52,24
cp-algorithms (C++),0,0,1,0,0,0,0,0,0,0,0,0,2,5,0
ModSecurity (C++),19,0,11,19,58,0,5,59,0,1,56,4,172,35,33
zeek (C++),131,3,154,123,331,0,14,32,0,14,56,31,257,134,106
libigl (C++),13,1,22,19,57,0,0,5,0,4,18,8,37,81,10
slambook2 (C++),0,0,4,3,16,0,0,3,0,0,8,1,5,4,2
pedalboard (C++),19,2,4,11,38,0,2,5,0,0,11,4,19,17,20
wav2letter (C++),3,0,5,3,14,0,3,1,0,1,6,0,9,6,6
winget-cli (C++),14,0,20,13,97,0,2,31,0,2,60,6,62,68,7
QGIS (C++),164,7,447,102,636,1,7,31,0,17,97,43,245,397,118
BlackDex (C++),25,0,106,37,159,3,5,7,0,5,64,30,138,417,19
LeetCode-Solutions (C++),26,1,7,18,53,0,4,7,1,1,20,16,97,9,51
Stacer (C++),3,0,5,24,25,1,2,1,0,1,8,1,9,5,2
ppsspp (C++),159,9,165,248,492,2,5,28,0,21,102,47,266,2079,171
lmms (C++),118,7,64,275,376,1,5,21,0,8,69,16,149,113,73
hardseed (C++),0,0,13,0,6,0,0,0,0,0,1,6,9,8,2
al-khaser (C++),0,0,0,1,1,0,0,0,0,0,1,0,0,21,0
monero (C++),71,3,172,80,437,14,25,93,0,9,255,37,526,1084,80
safetynet-fix (C++),0,0,0,2,1,0,0,0,0,0,1,0,0,4,0
Whisper (C++),58,2,57,14,138,0,5,5,0,29,47,11,51,114,10
shotcut (C++),44,5,8,129,128,3,1,13,1,6,26,1,67,17,11
triton (C++),19,6,41,12,100,0,13,130,0,2,178,8,197,340,16
liquidfun (C++),74,2,63,158,318,18,20,11,0,2,85,28,296,552,25
swig (C++),30,1,58,7,131,0,3,9,0,18,384,32,328,1023,8
snapcast (C++),43,1,96,67,177,0,1,6,0,9,56,28,174,291,20
wxWidgets (C++),658,36,474,573,1926,56,62,154,3,69,586,190,1058,882,316
MVision (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FileCentipede (C++),2,1,1,30,19,0,0,1,0,0,1,1,18,14,5
z3 (C++),502,12,278,489,1412,2,28,178,0,31,439,73,708,439,202
NonEuclidean (C++),3,0,6,4,12,0,0,7,0,0,6,0,15,3,4
tesseract (C++),30,0,51,56,162,0,2,12,0,2,62,12,109,107,72
CNTK (C++),80,1,106,160,303,1,1,24,0,26,100,29,153,220,92
sqlitebrowser (C++),52,1,69,69,182,4,3,5,0,3,27,12,68,190,68
opencv_contrib (C++),108,8,189,207,810,0,22,84,0,22,378,54,734,831,169
Catch2 (C++),17,0,103,27,132,0,1,11,0,13,104,31,136,220,25
QWidgetDemo (C++),120,6,102,207,492,6,15,13,0,8,83,24,192,198,97
Arduino-IRremote (C++),1,0,0,3,3,0,0,0,0,1,2,0,0,18,1
mediasoup (C++),23,0,33,33,106,0,3,4,0,13,35,4,41,112,40
flutter-desktop-embedding (C++),2,0,0,0,3,0,0,0,0,0,0,1,0,3,1
JoltPhysics (C++),68,0,102,170,347,0,8,13,2,6,61,24,227,169,57
perspective (C++),19,2,33,5,92,0,5,4,0,1,37,8,57,117,5
QOwnNotes (C++),39,3,71,87,200,0,9,14,0,4,82,16,136,170,58
WechatExporter (C++),10,0,9,10,34,1,2,4,0,2,8,3,18,23,17
AndFix (C++),1,0,1,2,4,0,0,0,0,0,0,1,3,13,1
Piccolo (C++),170,6,316,241,731,1,19,74,3,21,204,136,653,2589,87
openmw (C++),228,9,286,790,1307,15,32,494,4,29,661,104,1400,1377,179
nekoray (C++),21,1,6,17,45,0,1,6,0,0,10,1,29,14,10
CodingInterviewChinese2 (C++),2,0,0,0,3,0,0,1,0,0,2,1,6,10,0
react-native-mmkv (C++),0,0,0,0,0,0,0,1,0,0,3,0,3,1,0
wabt (C++),22,3,48,14,105,0,2,2,0,0,19,19,48,194,9
cocos-engine (C++),150,24,230,263,685,3,17,19,0,23,168,87,385,1045,191
thrift (C++),53,5,90,99,206,3,8,36,0,12,115,37,173,307,69
Clipboard (C++),8,0,15,6,19,0,0,2,0,1,2,5,16,30,5
Natron (C++),277,7,373,282,945,9,28,76,3,24,323,37,543,1715,89
Tars (C++),1,0,0,2,2,0,1,1,0,0,5,0,3,0,1
albert (C++),8,0,7,10,36,0,0,0,0,1,11,1,13,24,3
Blackbone (C++),61,4,65,27,144,0,0,2,0,3,13,15,39,403,5
re2 (C++),4,0,12,2,23,1,3,3,0,3,13,7,13,58,13
LibreSprite (C++),115,7,121,213,430,4,81,29,0,21,173,63,233,165,90
mumble (C++),45,0,45,85,166,2,6,21,0,9,91,18,123,290,34
algorithms (C++),10,0,8,9,23,0,1,0,0,1,4,1,8,12,11
Paddle-Lite (C++),87,1,238,166,597,0,13,347,0,15,529,35,830,699,187
FreeCAD (C++),554,32,499,851,2060,21,89,171,4,82,747,114,1207,955,486
duilib (C++),49,1,5,14,85,2,0,3,0,1,18,2,10,53,7
tinyxml2 (C++),2,1,6,2,6,0,0,0,0,0,2,0,1,2,4
udp2raw (C++),4,1,4,1,10,0,0,0,0,0,4,1,3,55,2
cuberite (C++),118,9,71,158,417,4,17,71,1,6,212,9,337,117,80
opentoonz (C++),0,0,2,0,0,0,0,0,0,0,0,0,0,3,0
openFrameworks (C++),23,2,48,70,136,0,2,3,0,12,37,17,52,181,71
meshoptimizer (C++),0,0,8,0,4,0,0,0,0,1,2,0,11,106,0
DOOM-3-BFG (C++),117,2,89,271,406,2,9,18,1,14,92,22,158,489,133
openh264 (C++),16,0,11,61,63,0,0,2,0,32,10,8,95,160,9
plaidml (C++),30,1,42,11,95,0,11,107,0,3,153,8,228,108,24
notepad-plus-plus (C++),126,6,210,100,481,0,6,11,0,13,101,54,254,628,101
LightGBM (C++),22,0,44,30,78,0,2,8,0,1,35,7,51,55,35
json (C++),7,0,35,15,50,0,1,3,0,2,18,5,36,244,12
OpenRCT2 (C++),47,2,142,114,280,0,2,12,0,4,43,8,81,373,55
Arduino (C++),31,3,56,30,102,2,2,6,0,2,43,11,64,350,47
mesos (C++),183,3,146,134,473,7,18,97,0,11,219,17,398,469,57
esphome (C++),27,2,97,421,405,0,69,373,0,105,577,59,604,328,394
WickedEngine (C++),10,0,9,48,64,0,1,0,0,0,7,3,38,107,2
N64Recomp (C++),0,0,1,1,0,0,0,1,0,0,1,0,3,13,0
openalpr (C++),26,1,66,20,100,1,4,3,0,9,37,27,86,194,38
leela-zero (C++),8,0,43,11,46,0,1,2,0,0,7,16,25,78,12
GSL (C++),0,0,2,0,0,0,0,0,0,0,1,1,3,8,0
DeepSpeech (C++),140,3,216,53,402,10,21,49,1,7,160,25,200,327,103
tigervnc (C++),34,1,28,78,85,2,4,6,0,2,31,11,69,98,59
engine-sim (C++),7,2,15,57,24,0,1,0,0,1,6,2,33,7,23
3d-game-shaders-for-beginners (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
xbmc (C++),398,13,408,380,1270,13,82,127,0,52,583,90,816,941,515
waifu2x-caffe (C++),2,0,5,3,16,0,1,2,0,0,5,1,6,33,8
kbd-audio (C++),3,1,2,0,4,0,0,0,0,0,1,0,2,22,1
AppImageLauncher (C++),3,0,3,4,12,0,0,5,0,0,7,3,10,9,2
rethinkdb (C++),214,9,284,192,556,5,20,58,0,12,176,66,557,554,96
s3fs-fuse (C++),4,0,4,3,18,0,0,2,0,0,6,3,11,12,3
LAVFilters (C++),85,4,22,9,142,0,1,0,0,3,17,6,33,313,3
MyTinySTL (C++),14,2,11,1,55,0,0,1,0,0,25,0,28,46,6
jetson-inference (C++),3,0,2,1,13,1,0,0,0,1,10,0,3,3,21
Detours (C++),25,1,70,21,124,0,0,3,0,7,31,28,118,172,8
ThreadPool (C++),1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
x64dbg (C++),47,2,26,83,159,0,0,7,0,2,35,4,77,620,12
rapidjson (C++),4,0,20,8,26,0,1,2,0,5,22,5,34,112,24
git-crypt (C++),2,2,3,1,8,0,0,0,0,1,0,0,5,7,0
edge (C++),10,0,17,3,31,0,0,1,0,0,12,0,10,190,3
btop (C++),20,2,40,9,80,0,2,9,0,2,25,16,79,200,9
arrayfire (C++),18,1,38,64,221,0,0,64,0,1,234,35,331,265,12
Hippy (C++),39,7,37,68,136,0,8,13,0,5,40,25,83,147,25
typesense (C++),23,3,43,45,120,0,9,2,0,5,65,13,104,271,26
30dayMakeCppServer (C++),5,0,0,6,8,0,2,0,0,1,0,0,0,5,1
fswatch (C++),3,0,1,7,6,0,0,0,0,1,0,1,0,16,2
AirSim (C++),64,7,98,241,201,0,7,21,0,7,65,50,271,304,138
leveldb (C++),28,0,31,16,74,1,3,5,0,2,22,6,41,53,21
SeetaFaceEngine (C++),5,0,3,15,8,0,0,0,0,0,2,2,14,11,12
WasmEdge (C++),274,1,238,32,977,0,13,81,0,18,602,119,1004,439,35
vowpal_wabbit (C++),42,1,61,51,134,4,8,25,1,6,53,29,134,266,42
duckdb (C++),0,0,2,0,3,0,0,0,0,1,2,0,1,4,1
GuiLite (C++),1,0,1,12,5,0,0,1,0,0,2,0,3,12,5
better-sqlite3 (C++),0,1,0,1,6,0,1,0,0,3,5,0,1,336,3
implot (C++),3,0,19,7,34,0,2,7,0,0,3,5,46,20,1
mlpack (C++),76,3,280,28,343,0,7,32,1,18,123,48,216,458,74
cpr (C++),1,0,27,3,13,0,3,3,0,0,10,12,37,42,5
SFML (C++),29,0,12,17,75,0,0,1,0,4,25,2,39,587,21
xournalpp (C++),84,5,62,51,245,0,10,18,0,12,58,13,116,218,41
interview (C++),1,0,0,4,2,4,0,0,0,0,14,0,18,12,0
Squirrel.Windows (C++),80,2,63,12,177,0,9,6,0,42,65,10,50,150,16
Relativty (C++),5,0,5,6,10,0,1,2,0,1,8,0,5,182,11
cpprestsdk (C++),50,1,54,33,140,0,1,10,0,7,48,16,115,376,25
smartknob (C++),2,1,2,6,7,0,0,0,0,0,0,1,2,17,2
BetterNCM (C++),1,1,2,2,7,0,1,1,0,2,3,1,5,11,1
lnav (C++),101,7,213,50,441,0,20,51,0,33,188,49,348,1170,77
fprime (C++),27,4,23,76,159,0,10,41,0,18,128,27,117,80,46
polybar (C++),9,0,29,36,47,0,2,2,0,1,10,3,34,148,19
vnote (C++),74,4,34,80,200,6,6,14,0,5,50,7,61,39,14
pywin32 (C++),432,0,58,33,584,5,11,5,0,30,127,11,196,172,36
mosh (C++),4,0,23,6,27,0,1,1,0,0,8,2,42,13,16
qBittorrent (C++),34,3,60,76,188,0,2,13,0,3,39,15,94,106,22
thorium (C++),9,0,4,10,28,0,4,1,0,3,3,1,21,28,2
Marlin (C++),16,0,11,116,103,0,3,4,0,7,78,12,101,400,65
UDPspeeder (C++),3,1,3,2,12,0,0,0,0,0,4,1,4,46,6
MaaAssistantArknights (C++),2,0,9,0,9,0,0,1,0,0,0,2,3,26,1
360Controller (C++),2,0,3,1,14,0,0,0,0,1,7,0,0,11,1
keepassxc (C++),75,6,39,98,240,1,27,15,0,11,93,8,107,52,28
calculator (C++),5,0,8,19,36,0,0,0,0,4,17,1,19,77,11
server (C++),808,18,461,388,1914,267,56,107,2,39,641,118,1055,1775,295
DOOM (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
openpose (C++),18,1,47,33,56,0,7,20,0,2,23,16,105,55,19
ESP32Marauder (C++),0,0,1,2,2,0,1,5,0,1,7,0,3,7,6
TensorRT (C++),42,0,50,22,143,6,12,7,0,9,103,6,107,268,68
PX4-Autopilot (C++),162,6,136,247,450,0,8,9,0,16,113,49,287,606,362
libpag (C++),34,0,84,21,178,7,3,22,0,6,85,8,104,147,39
libtorrent (C++),62,2,185,61,192,0,12,19,0,8,57,18,225,254,30
The-Forge (C++),144,4,190,89,377,0,7,11,0,5,88,35,217,3380,78
imgui (C++),8,1,10,22,22,0,0,0,0,0,1,4,23,138,10
OpenArk (C++),8,0,4,21,23,0,1,2,0,0,2,2,6,179,1
ArduinoJson (C++),34,0,97,18,150,0,0,4,0,9,48,38,149,269,23
WebServer (C++),4,0,1,8,12,0,0,1,0,0,1,1,7,1,4
OpenTTD (C++),151,5,238,129,636,33,56,122,0,44,412,94,562,882,144
xgboost (C++),24,2,93,48,167,1,13,30,0,8,69,22,150,157,33
Bear (C++),6,0,21,2,34,0,4,4,0,0,13,2,28,33,8
colmap (C++),46,0,63,82,166,2,4,12,0,4,47,7,129,171,40
Qv2ray (C++),30,0,75,50,170,0,2,8,0,12,66,26,140,204,22
nebula (C++),397,8,272,180,818,0,30,32,0,13,204,43,561,256,123
nodegui (C++),11,5,9,43,71,0,46,1,0,64,100,29,93,17,9
slambook (C++),2,0,4,4,13,0,0,4,0,1,10,0,3,20,2
endless-sky (C++),30,0,128,36,186,0,3,12,0,7,64,33,138,142,45
libfacedetection (C++),0,0,0,0,1,0,0,0,0,0,0,1,1,4,1
doom3.gpl (C++),105,5,61,316,388,3,4,7,1,12,59,12,92,571,109
gpt4all (C++),6,0,7,9,29,0,0,5,0,2,13,1,16,41,6
stellarium (C++),84,0,83,150,319,2,9,43,0,16,126,5,148,110,80
LocalAI (C++),6,0,6,7,19,0,1,1,0,0,11,2,19,132,1
wslg (C++),2,1,3,1,6,0,0,0,0,0,4,1,2,21,3
opencv4nodejs (C++),37,0,149,37,233,0,0,2,0,1,32,48,117,61,5
Cemu (C++),101,9,158,85,425,3,5,14,0,14,121,43,168,722,45
RedisDesktopManager (C++),14,2,9,19,66,0,0,7,1,7,26,4,16,7,3
workflow (C++),25,4,21,16,70,1,12,14,0,16,32,7,55,127,40
panda3d (C++),492,8,165,258,1165,0,10,39,4,15,255,22,373,380,178
xenia (C++),70,0,119,44,256,0,1,15,0,9,61,31,128,828,58
concurrentqueue (C++),127,3,82,175,392,4,12,24,0,6,125,40,313,2260,46
openscad (C++),29,1,90,54,167,1,6,25,0,10,77,13,133,275,69
liteide (C++),109,13,99,161,415,3,17,23,0,17,98,35,239,186,57
pixie (C++),172,7,235,119,558,2,30,243,0,17,368,54,728,577,54
draco (C++),37,2,46,19,109,0,2,18,0,5,62,3,57,85,60
Cplusplus-Concurrency-In-Practice (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HyperLPR (C++),25,1,66,18,117,0,0,4,0,7,35,25,113,147,12
watchman (C++),33,1,31,14,101,0,4,17,0,2,24,5,78,130,3
leetcode (C++),7,0,6,4,24,3,2,52,0,0,70,5,98,11,23
rr (C++),23,1,36,8,70,0,4,8,0,1,27,4,57,213,14
design_patterns (C++),2,0,1,18,4,4,1,0,0,3,35,5,51,5,0
websocketpp (C++),6,0,8,13,26,0,0,3,0,4,17,1,17,51,4
pika (C++),44,3,54,88,122,0,6,10,0,0,42,10,98,70,147
cmder (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
omim (C++),237,13,389,183,875,16,34,68,2,14,266,88,601,1617,142
trojan (C++),2,0,1,8,9,0,0,0,0,0,2,1,3,2,0
ninja (C++),7,1,3,16,34,1,2,4,0,0,18,2,32,20,12
ssdb (C++),33,2,28,24,95,1,3,8,0,2,32,6,48,129,34
meshlab (C++),152,8,118,221,497,2,14,31,0,19,225,33,172,356,142
