,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
NETworkManager (C#),7,9,1341,15,1222,303,133,706,34,1542,349,32,0,44,92,284,26,3
CreamInstaller (C#),5,0,8,4,10,27,8,24,1,5,15,0,0,0,3,2,0,0
Remotely (C#),16,21,152,18,39,109,344,423,224,65,43,41,0,19,20,266,0,0
runner (C#),325,139,613,90,247,705,697,1350,292,343,1081,51,0,208,85,386,15,7
Scrutor (C#),4,0,100,0,4,25,99,123,26,4,24,0,0,2,0,25,0,0
Unigram (C#),446,207,2495,685,1024,2600,2336,5552,507,1885,1258,16,8,312,504,1644,286,7
sharpkeys (C#),0,1,1,2,9,34,1,34,8,2,3,0,0,0,0,4,0,0
OrchardCore (C#),242,101,2377,123,201,358,2860,3549,1083,813,1415,549,1,430,243,1506,47,1
npoi (C#),10444,1429,4145,257,9169,3539,4414,14249,3119,3097,3301,52,1,1313,1696,5175,153,37
ExcelDataReader (C#),21,22,116,14,14,120,81,156,13,73,117,1,3,34,4,58,11,0
Hangfire (C#),50,33,373,25,125,616,184,860,217,724,388,18,0,102,17,541,35,5
Newtonsoft.Json (C#),195,155,625,89,232,559,661,1232,1493,1282,439,19,2,129,162,2695,23,2
wpftoolkit (C#),549,280,805,215,428,1000,622,1808,149,1386,497,9,2,224,219,377,96,3
EarTrumpet (C#),7,18,242,49,63,176,88,249,30,248,113,3,9,15,14,53,14,1
BililiveRecorder (C#),11,9,265,10,32,91,105,203,59,215,203,2,0,19,8,64,11,0
cake (C#),93,58,549,63,84,408,469,958,462,183,677,18,0,312,120,327,23,0
StabilityMatrix (C#),33,24,511,50,76,294,277,636,102,630,298,30,0,69,80,278,32,1
reactive (C#),348,30,1464,8,347,920,1504,2368,2618,1240,1024,13,0,709,41,3688,257,1
ParrelSync (C#),0,1,4,0,6,4,1,4,2,3,8,0,0,1,0,2,0,0
WingetUI (C#),51,8,143,5,45,110,150,288,85,142,118,3,1,37,40,146,4,4
LiveCharts2 (C#),66,16,265,191,382,639,181,884,308,378,1376,17,0,135,60,288,18,9
MvvmCross (C#),240,99,531,77,369,1305,602,2293,336,448,1237,4,12,204,425,700,160,2
ReactiveUI (C#),28,11,59,0,64,146,66,155,299,93,344,1,0,19,21,365,14,0
Dapper (C#),11,5,120,2,17,54,139,176,99,246,65,1,0,7,21,331,6,0
RestSharp (C#),10,0,28,2,5,8,24,34,12,8,20,7,0,9,1,5,2,0
QRCoder (C#),17,0,40,0,17,12,34,47,293,16,38,1,0,10,4,298,2,0
Snap.Hutao (C#),28,50,316,38,71,156,406,560,142,224,316,10,3,79,53,227,4,1
aspire (C#),55,27,369,26,108,121,150,335,658,548,219,24,0,34,18,725,24,4
GalaxyBudsClient (C#),476,119,571,131,361,576,524,1351,95,451,499,10,20,211,143,518,48,7
GameFramework (C#),190,74,210,14,67,152,248,323,20,49,140,2,0,19,19,30,14,0
acat (C#),381,453,369,221,461,1585,507,1762,205,598,533,5,0,83,265,396,132,2
command-line-api (C#),5,27,90,17,32,175,63,227,618,125,193,9,1,15,22,631,21,1
DriverStoreExplorer (C#),7,7,98,2,14,20,11,36,9,111,15,0,0,5,3,19,0,0
modular-monolith-with-ddd (C#),8,25,177,23,30,104,360,507,233,134,663,8,0,12,23,332,10,0
Power-Fx (C#),171,448,721,77,99,409,955,1773,1060,562,957,32,0,454,409,1274,90,3
PowerShell (C#),2797,907,3870,689,2261,3989,3880,9570,975,1823,2593,74,20,1257,1143,1495,138,21
Winpilot (C#),9,90,16,1,9,34,90,63,10,35,51,0,0,2,23,11,2,0
protobuf-net (C#),667,110,387,106,469,408,546,1109,889,987,453,18,0,73,137,1534,101,5
TensorFlow.NET (C#),1812,630,1740,895,1640,1056,1438,4063,466,1213,820,359,2,491,682,704,92,3
N_m3u8DL-RE (C#),3,4,56,8,14,17,61,59,20,19,27,0,1,14,5,23,0,0
hashids.net (C#),0,2,17,0,0,32,17,25,24,3,5,0,0,0,0,26,0,0
ScottPlot (C#),79,28,391,168,211,861,310,1033,1195,431,482,3,0,277,90,1283,51,9
AssetRipper (C#),70,181,237,74,76,359,254,617,187,349,659,12,4,60,84,345,29,2
wpfui (C#),23,27,47,15,57,120,77,251,30,149,186,7,1,32,54,130,36,0
WinDynamicDesktop (C#),3,3,9,5,10,70,6,61,12,39,36,0,0,2,11,30,1,0
NSwag (C#),137,64,158,10,201,72,194,334,348,124,142,12,0,37,23,428,19,0
Swashbuckle.AspNetCore (C#),2,12,34,20,6,96,50,196,211,96,91,4,0,51,30,317,52,0
nvidiaProfileInspector (C#),8,6,94,15,17,116,79,168,19,63,35,0,1,11,20,38,2,1
FASTER (C#),80,223,329,154,191,804,425,1221,203,429,313,73,4,39,241,363,117,3
EntityComponentSystemSamples (C#),17,28,66,166,175,442,57,503,393,285,43,2,0,29,25,544,43,4
ViVe (C#),8,4,77,0,14,0,0,19,0,73,2,0,0,0,0,0,0,0
ScreenToGif (C#),30,12,110,115,128,370,113,664,90,293,269,1,4,43,141,268,7,1
EFCore.BulkExtensions (C#),5,1,12,2,9,29,16,43,48,79,28,2,0,11,3,137,1,0
OpenRA (C#),282,598,1871,486,587,1902,1269,4248,662,480,929,558,5,1087,274,550,161,18
AspNetCore.Diagnostics.HealthChecks (C#),74,1,68,4,35,28,175,209,354,82,138,37,0,31,7,383,5,2
fluentmigrator (C#),220,136,571,45,504,3074,635,3245,760,536,537,44,0,138,183,1011,88,1
SteamDesktopAuthenticator (C#),1,6,8,3,16,75,10,78,6,7,12,0,0,1,4,6,1,0
AutoFixture (C#),72,95,361,41,41,187,399,687,2349,1243,549,1,0,207,55,3553,89,0
refit (C#),6,1,27,0,6,4,34,50,248,37,45,1,0,8,4,260,0,0
WTM (C#),0,0,2,0,0,0,1,2,0,0,3,1,0,1,0,1,0,0
Autofac (C#),44,30,103,12,56,148,143,298,803,226,193,5,0,28,13,971,23,0
basic-computer-games (C#),85,63,302,18,116,391,249,384,97,232,282,1,0,30,56,214,3,2
Magick.NET (C#),40,74,168,62,67,175,165,344,65,142,390,13,0,62,4,128,3,1
Radarr (C#),97,223,1607,357,415,2386,1958,3663,858,1029,1367,47,0,740,172,1565,43,1
v2rayN (C#),13,5,453,9,35,120,67,176,28,471,50,0,1,6,8,95,0,0
AICommand (C#),0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,1,0,0
grpc-dotnet (C#),128,53,528,62,147,282,634,1071,685,357,391,23,0,156,60,909,37,2
N_m3u8DL-CLI (C#),3,1,92,10,6,20,9,13,0,86,5,0,1,0,0,0,0,0
puppeteer-sharp (C#),16,15,180,25,91,112,930,1099,98,119,261,8,2,30,15,171,4,0
MahApps.Metro (C#),21,20,117,50,80,378,163,590,73,107,208,9,0,43,70,130,18,1
Digital-Logic-Sim (C#),13,18,43,47,81,342,38,245,23,58,18,0,0,15,7,39,4,2
blazor-starter-kit (C#),0,8,97,0,12,3,134,150,3,16,56,28,0,6,4,9,0,0
kudu (C#),163,97,693,42,91,358,609,935,371,586,338,11,0,162,126,702,26,3
qttabbar (C#),4,5,5,4,6,16,2,20,1,6,3,0,0,1,10,4,9,0
ImageSharp (C#),52,219,739,144,185,1142,728,1260,1211,1318,821,109,3,187,21,1763,41,3
Ryujinx (C#),349,718,3344,528,1091,3917,2921,5362,731,2068,1750,68,8,394,290,1803,103,13
opentk (C#),78,184,397,36,108,130,647,639,103,213,276,16,2,30,124,95,3,1
ink (C#),118,63,286,18,65,168,278,473,231,74,109,12,0,130,84,243,2,1
MagicOnion (C#),74,43,337,136,89,263,456,1002,974,376,795,26,0,288,226,1274,13,5
NoteHighlight2016 (C#),11,13,53,3,34,18,4,39,16,55,12,0,0,2,6,31,5,0
NAudio (C#),303,74,377,96,390,710,299,765,196,339,416,29,23,89,122,421,28,2
better-genshin-impact (C#),26,6,20,2,4,21,20,42,9,46,27,0,0,9,1,27,0,0
ImageGlass (C#),266,103,258,153,386,1186,399,1679,109,356,226,1,15,61,105,228,9,7
Avalonia (C#),423,501,1672,405,967,2414,1376,4220,2487,2750,2171,82,11,685,348,3917,260,12
aspnetcore (C#),46,78,364,96,213,836,559,1377,1156,709,522,34,0,122,72,1577,39,6
Unity3DTraining (C#),0,2,6,3,17,29,4,20,1,16,0,0,0,6,1,5,0,1
UniTask (C#),34,32,477,14,41,175,362,641,126,85,204,3,1,273,13,176,13,2
PKHeX (C#),55,194,6751,133,216,1143,308,1215,225,6880,399,2,0,95,40,288,116,6
Emby.Plugins.JavScraper (C#),3,10,55,0,5,2,68,70,14,8,32,0,0,25,0,12,0,0
xdm (C#),32,38,117,55,137,513,123,605,77,341,174,0,0,48,55,253,11,8
SophiApp (C#),6,16,31,14,30,30,15,65,20,101,101,1,0,0,9,30,0,0
NaughtyAttributes (C#),34,1,25,16,5,24,24,69,15,19,47,0,0,4,19,23,0,0
DnsServer (C#),416,88,249,43,239,375,314,901,114,102,174,16,0,101,63,94,18,2
Flurl (C#),46,1,63,1,11,17,140,146,74,116,52,1,0,11,3,157,2,0
Malware-Patch (C#),4,2,4,2,20,13,4,19,3,7,20,0,0,2,1,5,2,0
RunCat_for_windows (C#),3,0,61,0,6,16,0,14,0,62,2,0,0,0,1,3,0,0
osu (C#),69,573,758,418,1358,5261,1149,4424,751,1126,2346,26,3,441,325,1310,176,20
WindowsCommunityToolkit (C#),378,265,1186,287,434,1263,946,2367,550,2031,619,10,4,227,425,1378,43,5
DiscordChatExporter (C#),2,0,3,0,2,10,15,20,58,14,5,0,0,0,0,70,1,0
serilog (C#),23,22,61,14,17,119,63,217,162,325,72,10,0,15,9,499,114,0
SSH.NET (C#),387,118,671,97,558,2870,584,2041,368,1434,530,6,24,189,223,779,64,6
play-games-plugin-for-unity (C#),113,20,50,18,66,129,46,167,19,44,39,1,0,10,17,55,0,0
MessagePack-CSharp (C#),53,127,369,139,72,345,370,776,775,399,478,6,0,275,163,922,3,4
jellyfin (C#),66,195,1204,135,146,510,1518,2078,479,473,665,195,0,292,176,593,9,1
C-Sharp-Algorithms (C#),152,135,256,44,74,206,351,693,81,38,106,11,0,83,106,95,1,0
OFGB (C#),0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0
ant-design-blazor (C#),104,73,248,53,272,576,554,896,208,216,157,9,1,54,49,275,9,8
fluentui-blazor (C#),60,24,162,18,132,317,275,612,150,153,149,6,0,21,13,173,6,3
ShadowsocksR-Windows (C#),58,34,117,44,73,250,105,385,33,130,102,0,2,19,55,109,3,1
carnac (C#),22,14,24,0,9,24,31,66,21,17,34,4,0,12,4,12,1,0
FileConverter (C#),34,15,190,7,62,73,51,148,28,195,83,2,1,5,15,82,2,0
Humanizer (C#),19,0,67,6,2,24,42,67,309,174,12,0,0,0,18,458,1,0
MathUtilities (C#),4,4,27,15,49,163,23,83,14,48,21,0,0,13,6,26,3,2
sqlite-net (C#),7,2,109,0,9,99,103,193,134,111,36,1,2,24,3,227,2,0
Harmony (C#),43,5,56,11,31,72,58,125,129,84,76,1,0,35,7,199,13,0
NanUI (C#),2,0,2,0,3,3,0,5,5,5,7,0,0,0,0,6,0,0
surging (C#),800,302,975,151,503,672,1259,2233,284,341,749,143,0,257,222,358,54,4
Ombi (C#),23,7,805,7,42,113,1321,1440,353,191,216,90,0,188,43,517,16,0
aspnetboilerplate (C#),164,147,1572,185,202,1352,2256,3443,511,669,1493,28,0,351,200,1107,126,7
MarkovJunior (C#),1,20,9,2,8,10,19,13,4,1,8,0,0,3,2,1,1,0
ApplicationInspector (C#),7,2,165,4,10,34,39,63,92,156,45,2,0,18,3,24,2,0
opencvsharp (C#),80,136,936,159,31,475,1072,615,139,1016,438,44,2,240,10,573,3,4
NLog (C#),112,193,428,164,181,1107,514,1300,1260,801,430,11,0,85,83,1799,32,4
MisakaTranslator (C#),23,14,44,16,66,122,34,183,55,73,69,0,6,2,25,104,3,0
spine-runtimes (C#),714,64,306,92,526,736,274,1228,123,187,173,62,10,103,209,154,14,6
Covenant (C#),25,13,551,6,37,41,745,776,20,50,203,11,0,264,11,27,5,3
MaterialDesignInXamlToolkit (C#),44,8,70,27,84,126,42,269,254,193,276,9,0,53,34,363,0,0
RulesEngine (C#),5,6,35,0,1,13,70,96,62,12,30,2,0,22,11,71,0,0
markdig (C#),23,59,103,18,45,75,88,190,221,1879,180,1,0,20,42,2006,21,1
openhardwaremonitor (C#),432,86,403,162,284,630,301,1026,134,212,332,12,2,99,232,107,75,1
Psychson (C#),0,2,6,3,1,5,6,7,2,6,2,0,0,0,0,6,0,0
msbuild (C#),1500,834,1720,649,1095,4168,2041,5656,4066,3616,1622,177,10,623,362,5943,370,30
Il2CppDumper (C#),5,24,60,0,12,28,68,86,3,5,21,0,0,14,12,4,1,0
Dependencies (C#),161,44,150,26,71,145,59,345,39,257,173,5,3,29,53,81,17,1
Borderless-Gaming (C#),11,4,41,5,15,63,11,82,7,72,12,0,0,1,2,39,1,1
Discord.Net (C#),275,22,443,54,277,177,604,1055,122,297,726,43,1,61,55,379,23,1
Lidarr (C#),104,210,1582,391,403,2529,1933,3778,777,997,1337,47,0,655,172,1485,43,1
VsVim (C#),221,278,310,142,152,1446,481,1499,146,433,325,4,1,87,151,448,30,4
EventSourcing.NetCore (C#),21,25,87,18,65,397,174,679,93,67,185,5,0,116,31,158,37,0
elsa-core (C#),78,25,343,32,68,217,614,872,550,256,716,39,0,156,74,612,83,0
greenshot (C#),156,124,205,83,238,552,286,744,96,196,277,10,10,93,75,157,25,0
Cocona (C#),37,2,79,5,10,96,72,185,337,155,132,13,0,38,26,450,38,0
MixedRealityToolkit-Unity (C#),647,349,1039,339,1227,2297,1112,3136,415,785,351,16,5,265,198,679,173,16
netch (C#),4,3,22,10,19,89,24,110,16,75,43,0,1,10,18,73,0,1
duplicati (C#),198,124,584,43,166,476,571,917,159,1151,356,9,4,188,238,1150,29,2
Terminal.Gui (C#),52,254,181,72,244,811,392,991,705,486,245,8,0,95,76,858,43,5
Starward (C#),7,9,543,18,64,203,172,370,42,573,81,17,1,20,46,133,4,1
BBDown (C#),0,0,0,0,2,6,2,6,7,2,5,0,0,7,1,7,0,0
g-helper (C#),38,22,451,28,88,342,76,412,15,425,114,0,1,55,428,66,7,0
stateless (C#),10,2,35,9,18,90,52,141,237,45,32,1,0,8,28,267,14,0
mpv.net (C#),17,5,33,16,50,92,28,124,12,76,38,1,1,14,13,44,0,1
XCharts (C#),883,186,339,196,309,844,803,1514,128,162,96,3,0,94,160,125,89,0
blazor-workshop (C#),0,0,85,0,12,39,76,84,4,10,75,0,0,0,0,4,0,0
MonoGame (C#),921,346,886,321,682,1611,922,2800,475,771,824,38,23,280,443,923,325,9
ModernWpf (C#),160,94,420,136,328,855,351,1703,293,573,557,8,10,150,418,724,57,3
UnityLibrary (C#),28,10,20,3,54,116,21,73,21,49,31,0,0,3,6,33,4,2
StockSharp (C#),126,141,586,181,530,905,719,1728,197,220,731,10,0,226,80,238,151,6
RevokeMsgPatcher (C#),15,7,24,2,13,31,17,49,7,26,19,0,0,13,2,21,8,0
MoreLINQ (C#),1,0,8,2,3,34,2,18,333,270,20,0,0,0,4,582,3,0
ml-agents (C#),321,76,239,62,300,529,180,815,252,218,150,22,1,88,105,324,49,1
CMWTAT_Digital_Edition (C#),6,0,6,0,10,10,1,15,8,17,3,0,0,2,1,19,0,0
practical-aspnetcore (C#),1,7,109,9,27,23,165,241,67,110,81,53,0,100,51,167,19,0
oxyplot (C#),116,74,358,137,96,587,315,784,227,248,286,3,0,115,66,275,36,1
TensorFlowSharp (C#),71,4,72,5,47,17,60,108,82,144,74,6,2,44,3,166,1,0
Files (C#),37,97,356,119,349,541,424,1073,123,577,433,15,7,67,81,307,38,10
Electron.NET (C#),15,5,35,7,16,17,32,61,69,69,43,0,0,63,21,89,2,0
stride (C#),1923,1708,5168,1523,1927,6617,5456,11713,2137,4229,3861,116,29,1311,1049,3245,476,35
LibreHardwareMonitor (C#),277,60,188,90,214,395,162,631,89,169,220,10,1,50,56,83,35,2
MicaForEveryone (C#),6,9,31,12,52,90,46,131,15,54,62,4,6,10,6,32,4,0
ModernFlyouts (C#),6,6,148,18,37,136,37,142,22,203,67,0,4,11,12,50,10,3
SuperSocket (C#),43,23,205,14,46,83,256,410,96,41,168,3,0,85,26,111,11,1
LiteDB (C#),49,78,432,23,69,217,428,602,185,121,183,2,9,94,41,230,6,1
uno (C#),745,793,2969,921,2356,6498,4103,16875,3335,14954,7684,163,60,608,1160,28014,662,55
SimplCommerce (C#),9,16,524,25,6,51,606,644,128,54,319,3,0,51,11,162,40,0
quartznet (C#),245,159,371,30,255,420,616,1036,429,392,338,30,0,125,60,647,41,1
Mapster (C#),85,10,173,1,45,25,226,287,321,119,62,3,0,28,37,401,5,2
ParticleEffectForUGUI (C#),2,0,9,4,16,35,6,35,6,10,0,0,0,1,4,9,9,0
glazewm (C#),1,6,112,24,6,71,98,166,19,40,159,13,1,9,11,37,1,0
csharplang (C#),0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Entitas (C#),21,6,29,4,33,414,33,323,117,107,140,1,0,13,5,177,19,0
CliWrap (C#),9,0,17,0,5,2,11,11,90,11,0,0,0,0,0,85,0,0
BepInEx (C#),10,13,22,8,18,34,28,62,19,16,74,0,2,3,2,20,10,1
elasticsearch-net (C#),98,113,20347,30,13418,213,6969,16846,5342,420,3933,27,0,271,4,3504,472,0
shadowsocks-windows (C#),28,16,103,7,23,48,68,114,27,68,146,8,0,6,13,21,5,0
Windows-Auto-Night-Mode (C#),22,43,420,13,64,262,54,319,46,485,86,1,0,8,27,81,10,2
SignalR (C#),164,96,560,48,114,346,558,916,322,362,322,2,0,95,105,459,48,0
t3 (C#),91,130,349,115,229,770,185,1077,133,314,679,8,17,115,29,146,25,55
WeiXinMPSDK (C#),117,28,562,3,80,109,291,572,593,610,628,11,6,129,117,825,20,0
xNode (C#),18,13,42,6,17,48,36,109,21,23,6,1,0,9,23,34,10,0
clean-architecture-manga (C#),6,0,69,1,23,8,80,115,29,33,39,7,0,22,5,23,2,0
WinAppDriver (C#),44,11,34,16,68,376,43,451,62,206,85,1,3,4,67,214,1,0
MQTTnet (C#),203,22,363,17,198,153,517,721,168,208,128,8,0,100,46,290,13,2
git-credential-manager (C#),25,76,260,27,39,139,282,333,399,320,226,3,1,112,30,523,28,5
npgsql (C#),121,31,184,15,132,185,250,412,420,784,358,11,0,51,12,961,8,4
Prowlarr (C#),94,109,1255,155,147,855,1479,2341,641,518,1038,45,0,918,105,1037,27,0
Geographical-Adventures (C#),175,76,215,106,138,450,215,519,98,147,187,2,0,78,52,122,20,3
Unity-Design-Pattern (C#),85,6,36,11,133,198,29,155,94,165,132,2,0,30,45,238,25,0
AspNetCore.Docs (C#),80,77,2227,30,797,408,1919,2899,1691,1419,1444,760,0,141,220,2728,448,0
Umbraco-CMS (C#),397,270,2355,213,342,1466,2910,4495,2242,1412,2280,290,0,679,109,2987,79,6
nopCommerce (C#),56,48,2766,15,447,380,4128,4828,591,351,914,1,0,601,103,786,53,0
ailab (C#),105,84,627,45,187,371,258,644,80,766,240,14,7,45,86,195,12,0
garnet (C#),56,555,552,233,338,1202,832,1709,568,779,394,12,3,108,145,912,137,7
ToastFish (C#),5,4,10,5,11,23,19,39,15,7,5,1,0,11,0,20,0,0
Rubeus (C#),13,18,186,76,37,182,154,203,79,127,199,12,0,34,41,144,3,2
perfview (C#),2058,323,6526,262,1792,1932,6387,8112,442,1569,632,1175,17,265,4296,779,71,14
HandyControl (C#),81,53,427,68,208,430,166,649,88,495,376,3,5,93,36,207,26,6
open-project-1 (C#),27,40,54,34,244,500,63,332,29,95,33,4,0,27,13,74,39,3
downkyi (C#),377,139,320,129,405,134,218,545,20,187,89,44,0,53,91,24,0,0
Opserver (C#),43,28,221,4,18,15,177,221,53,100,110,5,0,35,28,83,4,0
WaveFunctionCollapse (C#),1,1,2,0,2,4,1,2,1,2,3,0,0,0,0,0,0,0
SparkleShare (C#),19,28,67,18,39,126,63,102,46,92,75,0,2,9,8,89,7,2
lively (C#),16,19,451,30,93,229,169,394,42,516,184,9,0,31,51,126,35,2
DotNetty (C#),621,190,911,96,229,865,1354,1785,623,235,840,12,2,128,33,602,41,12
mRemoteNG (C#),230,296,2783,93,685,1316,1540,2678,583,1400,375,2,0,303,68,489,43,3
AsyncEx (C#),16,10,67,0,12,44,58,96,177,87,32,1,0,5,7,255,0,0
FastEndpoints (C#),1,1,44,19,22,86,46,121,72,84,93,10,0,5,29,129,9,0
Blazorise (C#),104,46,584,30,521,667,951,1939,593,290,404,13,1,94,265,719,71,1
StableSwarmUI (C#),5,4,46,4,14,25,50,58,14,24,13,3,0,9,3,22,6,0
devhome (C#),53,94,457,90,186,694,623,1227,224,277,648,19,3,221,120,320,84,6
Prism (C#),190,55,472,68,240,592,364,1228,1095,710,613,3,0,53,71,1338,101,0
dotnet-starter-kit (C#),7,4,62,4,5,13,100,107,54,33,42,23,0,11,2,78,0,0
Notepads (C#),42,24,73,61,92,267,97,394,42,129,102,2,0,50,52,120,2,2
blockchain (C#),0,3,7,0,1,0,10,8,1,0,2,0,0,1,2,1,0,0
ILSpy (C#),1030,812,2770,257,547,1617,1875,4496,1300,2377,990,32,5,432,988,1754,273,11
moq (C#),149,44,205,25,41,154,250,437,866,412,100,4,0,55,31,1081,10,0
Tai (C#),186,59,201,24,235,277,62,519,38,414,81,11,0,28,31,66,4,1
samples (C#),1444,269,1648,136,1306,1154,1628,3775,424,525,1850,54,8,383,817,839,152,7
language-ext (C#),26,41,230,5,12,42,108,178,720,470,279,10,0,59,11,972,0,0
UIEffect (C#),61,0,22,10,63,69,4,101,17,18,3,0,0,6,9,18,4,0
1Remote (C#),29,40,148,23,101,159,169,325,45,178,149,5,13,27,78,124,2,0
AutoMapper (C#),8,12,65,4,75,100,41,195,280,80,142,5,0,18,30,332,16,0
electrino (C#),7,16,44,0,3,6,18,33,9,66,35,0,0,6,9,26,0,0
AspNetCoreDiagnosticScenarios (C#),0,0,28,0,0,4,23,19,40,11,7,1,0,4,1,43,0,0
C-Sharp (C#),17,27,122,27,36,162,116,341,346,135,78,5,0,36,28,441,1,1
FreeSql (C#),0,0,4,0,1,2,6,7,4,1,5,1,0,0,0,4,0,0
asm-dude (C#),64,319,209,21,340,316,192,536,103,169,120,5,7,56,546,210,37,2
maui (C#),1153,844,3301,1065,3081,8992,3945,13079,3542,5915,5414,58,28,1372,1166,6669,1004,99
libgit2sharp (C#),161,62,433,26,41,956,336,1086,72,302,426,10,4,58,50,148,13,1
SteamTools (C#),11,31,83,17,41,97,93,213,57,102,111,13,0,16,28,94,4,1
Playnite (C#),634,191,507,84,920,573,610,1692,170,564,807,7,0,238,231,617,79,9
Architecture (C#),0,0,0,0,0,0,0,0,7,3,11,1,0,1,0,10,0,0
gsudo (C#),13,2,22,2,12,13,32,45,30,27,28,2,1,6,5,45,1,0
ProxySU (C#),13,28,40,0,44,92,57,121,17,58,66,0,0,1,14,51,0,0
openiddict-core (C#),33,6,295,5,6,30,438,440,674,527,151,9,0,162,1,1163,1,0
wavefunctioncollapse (C#),18,19,38,11,17,83,32,107,14,19,16,3,0,11,6,12,2,0
abp (C#),190,176,2329,124,362,1058,4186,5621,1991,1290,2753,204,0,530,370,2975,146,4
StackExchange.Redis (C#),18,76,521,21,45,372,567,748,633,560,246,11,4,35,10,788,11,0
Bulk-Crap-Uninstaller (C#),842,201,975,131,945,786,460,2131,162,996,405,4,2,135,336,403,63,7
Jackett (C#),12,13,164,11,31,87,184,283,178,95,181,3,0,129,7,194,12,0
EventStore (C#),510,384,1405,557,739,5152,2339,6394,974,1929,1303,53,4,626,422,1454,157,11
FPSSample (C#),743,449,1135,491,1014,2466,942,3981,628,968,887,15,3,614,1062,1112,223,16
CsvHelper (C#),86,39,178,59,52,60,234,411,587,515,196,4,0,29,20,1095,1,1
Fody (C#),6,9,20,4,12,32,20,65,39,56,18,0,0,2,13,79,24,0
PushSharp (C#),7,7,27,2,10,18,29,54,28,14,100,0,0,11,12,29,0,0
Util (C#),1523,109,1626,59,474,4789,3821,7618,1049,669,1341,37,0,796,156,1290,46,3
Bogus (C#),24,4,256,4,30,317,257,325,249,105,98,1,0,20,16,340,5,1
SkiaSharp (C#),37,141,342,157,147,352,220,540,158,451,472,16,3,80,46,137,43,2
mathnet-numerics (C#),117,78,1254,326,113,1061,786,1989,2347,3011,501,28,0,228,268,3481,11,0
Lean (C#),376,447,2578,251,742,3127,2595,6018,2328,2634,3329,59,1,1811,373,4182,145,137
Seatbelt (C#),1,3,72,0,7,18,62,112,47,33,236,0,1,77,41,65,1,0
pythonnet (C#),29,48,126,13,71,70,143,184,139,307,268,2,3,36,47,401,16,1
YoutubeDownloader (C#),1,0,1,3,5,17,4,16,3,5,6,0,0,0,1,7,1,0
Flow.Launcher (C#),40,23,849,22,134,154,159,326,72,902,139,3,2,64,31,170,4,1
WPF-Samples (C#),938,63,368,78,820,750,191,2335,208,661,813,57,0,79,391,526,21,6
PSReadLine (C#),14,23,308,20,32,354,57,174,42,322,30,1,0,10,8,84,4,1
Emby (C#),427,254,1857,273,328,977,2005,2877,442,566,914,19,0,551,945,743,44,5
SyncTrayzor (C#),68,55,373,57,71,346,185,433,60,300,190,5,0,21,59,54,11,1
workflow-core (C#),38,12,183,21,47,160,301,512,254,75,156,6,0,66,25,315,17,0
