,entity,minimal-entity,data-provider,commander,boundary,factory,controller,pure-controller,large-class,lazy-class,degenerate,data-class,small-class,empty,unclassified
awesome-system-design-resources (Java),0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
paascloud-master (Java),102,0,23,37,167,34,19,26,0,0,75,31,170,388,22
Luban (Java),2,0,0,0,3,0,0,0,0,0,1,1,2,6,2
EventBus (Java),8,1,1,53,25,1,2,0,0,2,3,18,36,21,5
MVVMHabit (Java),11,1,1,25,32,1,3,3,0,0,15,4,28,48,12
mybatis-generator-gui (Java),4,1,2,11,10,1,0,4,0,0,7,4,5,8,2
logger (Java),1,0,0,6,4,0,0,0,0,0,0,0,6,6,0
tomcat (Java),199,17,159,639,703,30,35,155,0,45,323,142,701,543,380
SpringCloudLearning (Java),0,0,2,0,1,0,0,0,0,0,10,1,6,4,0
fastjson (Java),26,4,18,64,869,4,10,1267,1,4,2274,159,1885,85,51
hello-algo (Java),3,0,0,6,16,0,0,8,0,0,31,0,39,41,18
ShortcutBadger (Java),0,0,0,3,2,0,0,1,0,0,4,0,12,7,4
libgdx (Java),377,12,207,614,738,23,28,34,1,31,150,55,224,577,278
jna (Java),26,0,34,73,104,0,9,34,0,4,113,39,101,252,34
CoreNLP (Java),259,11,84,292,659,75,99,157,0,20,311,26,513,539,295
error-prone (Java),559,1,23,659,884,13,33,115,0,13,549,8,968,281,56
butterknife (Java),4,0,10,17,56,0,0,4,0,2,28,3,40,22,1
PocketHub (Java),38,0,1,29,71,2,3,10,0,1,29,6,55,69,9
netty-socketio (Java),12,1,21,27,48,1,2,5,0,2,14,23,32,29,11
ion (Java),10,0,3,26,39,8,7,12,0,3,28,2,38,40,10
jOOQ (Java),416,23,145,93,944,49,121,32,3,55,206,27,359,920,164
grpc-java (Java),184,10,78,412,528,28,40,68,2,22,201,39,262,326,112
PermissionsDispatcher (Java),0,0,0,12,1,0,0,1,0,0,14,0,11,5,0
Apktool (Java),11,1,13,44,56,1,3,9,0,1,8,8,60,26,13
otter (Java),79,10,30,269,340,6,24,24,0,4,86,94,223,203,76
hellocharts-android (Java),5,4,1,28,30,0,0,0,0,0,7,5,20,32,23
closure-compiler (Java),162,6,53,449,540,7,18,39,2,19,184,19,176,269,93
PowerJob (Java),60,1,13,63,124,29,23,43,0,1,95,6,151,242,16
Signal-Android (Java),209,10,369,446,803,25,70,96,0,44,285,221,560,568,216
grafika (Java),1,0,2,30,20,0,0,0,0,0,0,0,9,8,7
mybatis-3 (Java),55,2,39,237,276,12,24,95,1,4,165,99,203,214,81
walle (Java),2,0,5,4,3,1,0,4,0,0,2,5,14,24,3
alluxio (Java),274,11,203,614,735,48,61,119,1,16,313,107,553,479,273
FrameworkBenchmarks (Java),60,0,18,60,145,12,25,42,0,5,56,18,165,121,31
QMUI_Android (Java),52,1,9,158,120,4,4,16,0,2,45,6,82,64,35
BottomBar (Java),0,0,0,15,10,1,1,1,0,0,1,0,10,8,2
NumberProgressBar (Java),0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
eureka (Java),63,5,29,90,152,10,15,24,0,0,39,17,101,107,32
cachecloud (Java),93,2,98,30,181,26,30,4,0,1,11,75,146,206,38
javapoet (Java),8,0,0,8,19,1,1,4,0,0,13,0,4,2,6
caffeine (Java),106,3,21,117,214,8,20,23,0,2,101,11,153,74,60
springBoot (Java),15,0,4,8,21,12,16,7,0,0,12,9,27,17,6
AndPermission (Java),19,0,0,18,27,9,2,8,0,0,18,2,43,19,7
RxLifecycle (Java),1,0,0,35,22,0,0,1,0,0,0,0,2,10,0
aeron (Java),36,0,65,220,196,16,9,35,0,3,104,19,125,299,138
banner (Java),3,0,0,16,11,1,1,11,0,0,7,0,30,15,3
HomeMirror (Java),0,0,1,4,3,0,0,1,0,0,1,0,4,18,0
Mycat-Server (Java),65,5,63,140,227,13,18,50,0,10,118,53,202,389,148
NewPipe (Java),46,2,21,113,119,4,12,7,0,12,30,11,75,100,36
JCSprout (Java),5,0,0,23,16,4,1,15,0,0,31,4,47,32,5
Java (Java),37,1,4,60,265,9,9,77,0,0,308,6,229,344,53
ARouter (Java),6,0,1,18,27,2,1,2,0,0,9,1,24,35,5
storm (Java),61,5,20,74,145,7,9,20,0,3,64,18,94,150,42
java-design-patterns (Java),122,2,67,285,378,16,18,164,0,5,304,48,528,320,36
gitpod (Java),1,0,5,1,3,1,1,0,0,1,0,15,7,48,4
Shadow (Java),36,1,6,115,133,13,21,21,0,4,54,3,140,113,19
AndroidSlidingUpPanel (Java),1,0,0,1,1,0,0,1,0,0,1,0,1,0,1
zeppelin (Java),113,7,69,218,333,19,30,36,3,8,96,55,157,153,88
jmeter (Java),121,16,46,361,403,25,40,51,1,44,178,38,278,268,239
mapstruct (Java),89,1,178,76,469,117,69,409,0,8,750,601,971,990,70
bytecode-viewer (Java),19,2,21,57,75,4,8,39,0,1,54,25,103,90,25
graylog2-server (Java),837,1,285,934,1836,110,141,253,0,73,733,136,1482,1261,200
nanohttpd (Java),6,0,8,27,22,3,2,2,0,0,12,4,25,15,10
Activiti (Java),98,0,52,172,325,36,17,52,0,25,116,67,335,198,61
seatunnel (Java),293,8,213,425,776,60,99,150,0,35,544,157,781,738,198
material-components-android (Java),48,2,35,246,239,10,18,43,0,9,159,25,181,162,100
xmall (Java),0,0,0,0,1,0,0,0,0,0,0,20,0,20,20
supertokens-core (Java),11,0,13,131,82,2,7,7,0,3,236,7,138,118,16
