,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
pentaho-kettle (Java),0,1310,8,92,324,0,0,0,23,276,3387,0,4,4,974,0,0,34,1,1201,0,3,0,11,323,0,75,47,172,33,6247,96,1735,2,0,35,6,3,542,0,0,1,810,2,14,0,37,19,248,157,0,26,1,303,39,5,0,4,0,3,35,0,0,0,7387,0,45,3,1929,0,4,0,4936,0,1,1598,2013,4,526,12,24,12,0,125,309,1,0,0,26,2,18,674,0,0,5003,0,22,41,0,1,12,3181,8,4,0,0,701,90,801,0,3,57,1,36,8,42
elasticsearch-sql (Java),0,47,0,4,28,0,0,0,0,4,115,0,0,0,24,0,0,2,0,59,0,2,0,0,1,0,4,2,1,3,164,6,63,0,0,0,0,0,107,0,0,0,16,0,0,0,0,0,0,13,0,0,0,31,8,0,0,0,0,6,0,0,0,0,243,0,1,0,41,0,0,0,94,0,0,78,220,0,7,0,0,0,0,6,4,0,0,0,1,0,0,96,0,0,61,0,0,1,0,0,0,127,1,0,0,0,127,4,14,0,0,1,0,2,1,0
uCrop (Java),0,14,0,1,2,0,0,1,1,1,36,0,0,0,10,0,0,1,0,10,0,0,0,0,3,0,0,0,3,0,68,0,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,61,0,0,0,7,0,0,0,29,0,0,11,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,2,5,0,0,2,0,2,0,0
XPopup (Java),0,29,1,13,7,0,0,0,0,6,101,0,0,0,22,0,0,5,0,18,0,1,0,0,5,0,0,0,12,15,194,0,46,0,0,0,0,0,3,0,0,0,8,0,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,88,0,0,0,13,0,2,0,20,0,0,10,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,50,0,0,1,0,0,0,15,0,0,0,0,32,5,5,0,0,0,0,10,0,0
Matisse (Java),1,12,0,0,5,0,0,0,1,3,45,0,0,0,7,0,0,6,0,8,0,0,0,0,0,0,0,0,1,6,41,2,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,8,0,0,0,6,0,0,6,4,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,13,0,0,1,0,0,0,6,0,0,0,0,6,4,5,0,0,2,0,13,0,1
Android-SpinKit (Java),0,0,0,1,0,0,0,0,0,0,24,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,12,1,15,0,1,0,0,0,5,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,17,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,0,0,0,0,0,1,0,0,0,0,5,0,3,0,0,0,0,4,0,0
jsonschema2pojo (Java),0,11,0,2,9,0,0,0,0,8,88,0,0,0,9,0,0,5,0,33,0,0,0,0,3,0,0,5,0,2,128,25,74,0,0,1,1,0,2,0,0,0,7,1,0,0,0,0,3,1,0,1,0,4,3,0,0,0,0,0,1,0,0,0,556,0,0,0,12,0,0,0,162,0,0,34,105,0,11,0,1,0,0,0,8,0,0,0,0,0,0,11,0,0,64,0,0,0,0,0,0,114,0,0,0,0,22,9,19,0,0,3,0,1,0,0
APIJSON (Java),0,9,0,0,6,0,0,0,0,12,55,0,1,0,2,0,0,1,0,12,0,0,0,0,15,0,1,1,2,57,15,0,8,0,0,2,0,1,1,1,0,0,50,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,92,0,0,0,103,0,0,45,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,17,0,0,1,0,0,0,73,0,1,0,0,2,1,1,0,0,0,0,47,0,0
AndroidPdfViewer (Java),0,15,1,3,7,0,0,0,0,0,25,0,0,0,12,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,38,0,0,0,13,0,0,0,29,0,0,12,1,0,6,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0,9,0,0,0,0,1,2,1,0,0,2,0,0,0,0
SlidingMenu (Java),0,20,0,1,0,0,0,0,0,1,24,0,0,0,17,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,98,0,0,2,0,1,0,0,1,0,0,0,7,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,0,0,0,15,0,0,0,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,4,0,0,0,0
