Free Function Name,Free Function Stereotype
"adjustTargetDensityForError","property wrapper"
"getDensityMultiplier","literal wrapper"
"round","property"
"getDimensions","property command"
"decodeStream","property command"
"isScaling","predicate"
"logDecode","literal wrapper"
"getInBitmapString","literal wrapper"
"getBitmapString","property wrapper"
"newIoExceptionForInBitmapAssertion","literal wrapper"
"setInBitmap","command"
"getDefaultOptions","literal wrapper"
"releaseOptions","literal wrapper"
"resetOptions","command"
"isRotationRequired","predicate"
"convert","property wrapper"
"drawToBitmap","property wrapper"
"decodeStream","literal wrapper"
"decodeByteArray","literal wrapper"
"decodeFileDescriptor","literal wrapper"
"safeDecodeHardwareBitmapWithGainmap","property command"
"safeDecodeHardwareBitmapWithGainmap","property command"
"safeDecodeHardwareBitmapWithGainmap","property command"
"safeDecodeBitmapWithGainmap","property wrapper"
"convertSingleChannelGainmapToTripleChannelGainmap","property wrapper"
"copyAlpha8ToOpaqueArgb888","property wrapper"
"needsGainmapDecodeWorkaround","predicate wrapper"
"calculateNeedsGainmapDecodeWorkaround","literal wrapper"
"getInstance","global-command literal"
"isHardwareBitmapCountReducedOnApi28ByB139097735","literal wrapper"
"obtain","property wrapper"
"obtain","literal wrapper"
"obtain","property"
"streamClosed","literal"
"getBitmapDrawableLock","literal"
"centerCrop","property wrapper"
"fitCenter","property wrapper"
"centerInside","property wrapper"
"setAlpha","wrapper"
"rotateImage","property wrapper"
"getExifOrientationDegrees","property"
"rotateImageExif","property wrapper"
"isExifOrientationRequired","predicate"
"circleCrop","property wrapper"
"getAlphaSafeBitmap","property wrapper"
"getAlphaSafeConfig","property wrapper"
"roundedCorners","literal wrapper"
"roundedCorners","literal wrapper"
"roundedCorners","literal wrapper"
"roundedCorners","property wrapper"
"clear","wrapper"
"getNonNullConfig","property wrapper"
"applyMatrix","literal wrapper"
"initializeMatrixForRotation","wrapper"
"asset","literal"
"parcel","literal"
"byteBuffer","global-command literal"
"correctHdr180DegVideoFrameOrientation","property wrapper"
"isHDR","predicate wrapper"
"isHdr180RotationFixRequired","literal wrapper"
"isTBuildRequiringRotationFix","literal wrapper"
"decodeScaledFrame","property wrapper"
"decodeOriginalFrame","property wrapper"
"streamDecoder","literal"
"byteBufferDecoder","literal"
"streamDecoder","literal"
"byteBufferDecoder","literal"
"getDrawable","literal wrapper"
"getDrawable","literal wrapper"
"getDrawable","property global-command wrapper"
"loadDrawableV7","property wrapper"
"loadDrawableV4","property wrapper"
"withCrossFade","literal wrapper"
"withCrossFade","literal wrapper"
"withCrossFade","literal wrapper"
"withCrossFade","literal wrapper"
"with","literal wrapper"
"newInstance","property"
"getSampleSize","property wrapper"
"getRequestBuilder","property wrapper"
"getFrameSignature","literal wrapper"
"inputStreamToBytes","property wrapper"
"toGifDrawableResource","property"
"get","literal"
"removeListener","wrapper"
"buildFrameWaiter","literal"
"findAllSupportFragmentsWithViews","wrapper"
"findActivity","property wrapper"
"assertNotDestroyed","wrapper"
"isActivityVisible","literal wrapper"
"get","property global-command wrapper"
"reset","global-command literal"
"parseModule","literal wrapper"
"throwInstantiateGlideModuleException","literal"
"isSet","predicate"
"sizeMultiplierOf","global-command literal wrapper"
"diskCacheStrategyOf","literal wrapper"
"priorityOf","literal wrapper"
"placeholderOf","literal wrapper"
"placeholderOf","literal wrapper"
"errorOf","literal wrapper"
"errorOf","literal wrapper"
"skipMemoryCacheOf","property global-command wrapper"
"overrideOf","literal wrapper"
"overrideOf","literal wrapper"
"signatureOf","literal wrapper"
"fitCenterTransform","global-command literal wrapper"
"centerInsideTransform","global-command literal wrapper"
"centerCropTransform","global-command literal wrapper"
"circleCropTransform","global-command literal wrapper"
"bitmapTransform","literal wrapper"
"noTransformation","global-command literal wrapper"
"option","literal wrapper"
"decodeTypeOf","literal wrapper"
"formatOf","literal wrapper"
"frameOf","global-command literal wrapper"
"downsampleOf","literal wrapper"
"timeoutOf","global-command literal wrapper"
"encodeQualityOf","global-command literal wrapper"
"encodeFormatOf","literal wrapper"
"noAnimation","global-command literal wrapper"
"obtain","literal"
"maybeApplySizeMultiplier","property wrapper"
"getMaxDisplayLength","property global-command wrapper"
"obtain","literal"
"setTagId","unclassified"
"getMaxDisplayLength","property global-command wrapper"
"getFactory","literal"
"get","literal"
"obtain","property wrapper"
"obtain","property wrapper"
"reset","literal wrapper"
"obtainVersionSignature","literal wrapper"
"getVersionCode","property wrapper"
"getPackageInfo","property wrapper"
"obtain","literal"
"fromFile","property wrapper"
"toFile","literal wrapper"
"toStream","wrapper"
"toBytes","property wrapper"
"toStream","literal"
"fromStream","property wrapper"
"rewind","property wrapper"
"getSafeArray","property wrapper"
"obtain","literal wrapper"
"obtain","literal"
"parseContentLength","literal wrapper"
"obtain","literal wrapper"
"clearQueue","literal wrapper"
"obtain","literal wrapper"
"clearQueue","literal wrapper"
"mainThreadExecutor","literal"
"directExecutor","literal"
"shutdownAndAwaitTermination","wrapper"
"memorize","property wrapper"
"getLogTime","literal wrapper"
"getElapsedMillis","property wrapper"
"checkArgument","literal wrapper"
"checkArgument","unclassified"
"checkNotNull","literal wrapper"
"checkNotNull","unclassified"
"checkNotEmpty","wrapper"
"checkNotEmpty","wrapper"
"sha256BytesToHex","literal wrapper"
"bytesToHex","property command"
"getSize","literal wrapper"
"getBitmapByteSize","property wrapper"
"getBitmapByteSize","property wrapper"
"getBytesPerPixel","property"
"isValidDimensions","literal wrapper"
"isValidDimension","predicate"
"postOnUiThread","literal wrapper"
"removeCallbacksOnUiThread","literal wrapper"
"getUiThreadHandler","global-command literal wrapper"
"assertMainThread","literal wrapper"
"assertBackgroundThread","literal wrapper"
"isOnMainThread","literal wrapper"
"isOnBackgroundThread","literal wrapper"
"createQueue","literal"
"getSnapshot","property wrapper"
"bothNullOrEqual","predicate wrapper"
"bothModelsNullEquivalentOrEquals","predicate wrapper"
"bothBaseRequestOptionsNullEquivalentOrEquals","predicate wrapper"
"hashCode","literal wrapper"
"hashCode","property"
"hashCode","literal wrapper"
"hashCode","literal wrapper"
"hashCode","property wrapper"
"hashCode","literal wrapper"
"hashCode","literal wrapper"
"simple","literal wrapper"
"threadSafe","literal wrapper"
"threadSafe","literal wrapper"
"threadSafeList","literal wrapper"
"threadSafeList","literal wrapper"
"build","literal wrapper"
"build","literal"
"emptyResetter","literal"
"truncateTag","property wrapper"
"beginSection","literal wrapper"
"beginSectionFormat","wrapper"
"beginSectionFormat","wrapper"
"beginSectionFormat","wrapper"
"beginSectionAsync","literal wrapper"
"endSectionAsync","literal wrapper"
"endSection","literal wrapper"
"newInstance","literal"
"setSdkVersionInt","literal wrapper"
"registerMockModelLoader","wrapper"
"reset","literal wrapper"
"asList","property wrapper"
"getContentResolver","literal wrapper"
"getEngineResourceCaptor","literal wrapper"
"mockResourceCallback","literal wrapper"
"anyDecodeJobOrNull","literal wrapper"
"createArray","property wrapper"
"deleteRecursive","wrapper"
"mockModelLoader","literal wrapper"
"mockFactory","literal wrapper"
"getExifMagicNumber","literal wrapper"
"runTest","wrapper"
"generatePngHeaderWithIhdr","property wrapper"
"anyBitmapResource","literal wrapper"
"assertHasOriginalAspectRatio","wrapper"
"assertBitmapFitsExactlyWithinBounds","wrapper"
"isAPaint","literal wrapper"
"isARect","literal wrapper"
"getGlideSingleton","literal wrapper"
"aTarget","literal wrapper"
"newCoordinator","literal wrapper"
"newCoordinator","literal"
"anyDrawableOrNull","literal wrapper"
"mockTransition","literal wrapper"
"isAListTarget","literal wrapper"
"isAGlideException","literal wrapper"
"anyTransition","literal wrapper"
"anyExecutor","literal wrapper"
"newCoordinator","literal wrapper"
"newCoordinator","literal"
"anyContextOrNull","literal wrapper"
"anyContextOrNull","literal wrapper"
"testInBackground","literal wrapper"
"isLoggable","literal"
"cast","property"
"isADataSource","literal wrapper"
"anyContext","literal wrapper"
"anyResource","literal wrapper"
"mockResource","literal wrapper"
"isWindows","literal wrapper"
"writeFile","literal wrapper"
"readFile","property wrapper"
"setSdkVersionInt","literal wrapper"
"newTestExecutor","literal"
"newMainThreadExecutor","literal wrapper"
"newMainThreadUnlimitedExecutor","literal wrapper"
"mockRequestBuilder","literal wrapper"
"mockGlideRequest","literal wrapper"
